timestamp,soc_p05,soc_p50,soc_p95
2023-01-10 00:00:00,0.47294295904695555,0.49975617628272095,0.522510017554092
2023-01-10 00:15:00,0.4717248609604363,0.49853807659796595,0.5212919154615367
2023-01-10 00:30:00,0.4705070064716833,0.4973202184929464,0.5200740589294529
2023-01-10 00:45:00,0.46930946098157134,0.49612267398674004,0.5188765165193896
2023-01-10 01:00:00,0.46812363340558716,0.4949368469066091,0.5176906894043521
2023-01-10 01:15:00,0.46693938426706844,0.4937525944133817,0.5165064383205917
2023-01-10 01:30:00,0.46575447603482023,0.4925676845292434,0.5153215298511896
2023-01-10 01:45:00,0.4645567841301604,0.4913699952602658,0.5141238406882733
2023-01-10 02:00:00,0.4633638535558398,0.49017706331055166,0.5129309094665041
2023-01-10 02:15:00,0.4621728196329997,0.4889860300068042,0.5117398760469792
2023-01-10 02:30:00,0.4609823065888361,0.48779551784049063,0.5105493643232035
2023-01-10 02:45:00,0.45979329489729664,0.48660650626489793,0.509360354947133
2023-01-10 03:00:00,0.4599247253849488,0.48673793780151237,0.5094917859577129
2023-01-10 03:15:00,0.46002267050451023,0.48683588200489886,0.5095897298709844
2023-01-10 03:30:00,0.4601350563023674,0.4869482690127842,0.5097021156921885
2023-01-10 03:45:00,0.46032426712639773,0.4871374807118948,0.5098913285113845
2023-01-10 04:00:00,0.45915481380843487,0.4859680276822651,0.5087218747892179
2023-01-10 04:15:00,0.4579850198642647,0.4847982331160813,0.5075520810163207
2023-01-10 04:30:00,0.456810388586325,0.4836236017252252,0.506377449406758
2023-01-10 04:45:00,0.45563453594164727,0.4824477495422861,0.5052015973703337
2023-01-10 05:00:00,0.4544332474216925,0.48124646089786094,0.5040003086866285
2023-01-10 05:15:00,0.4532311992163575,0.4800444119772639,0.5027982620968857
2023-01-10 05:30:00,0.45202795751957114,0.4788411699409634,0.5015950189496498
2023-01-10 05:45:00,0.4508243457409968,0.47763755574822875,0.5003914058756495
2023-01-10 06:00:00,0.4495985439662082,0.4764117520994806,0.499165602572484
2023-01-10 06:15:00,0.44837261492759367,0.47518582122619485,0.4979396752942058
