timestamp,lambda0_mw,lambda_plus,lambda_minus,chi0_mw,chi_minus
2023-01-10 00:00:00,0.0,1.0000001778717262,1.0000001764076871,0.0,0.0
2023-01-10 00:15:00,0.0008564710122267,4.7391129750830494e-08,2.3737477205221986e-07,0.0,0.0
2023-01-10 00:30:00,0.0008562000749979,4.73636043034679e-08,2.3684352441957186e-07,0.0,0.0
2023-01-10 00:45:00,0.0008249586280211,4.5054007753630326e-08,1.444692639392933e-07,0.0,0.0
2023-01-10 01:00:00,0.0008104203561752,3.867898660490944e-08,8.242404134776772e-08,0.0,0.0
2023-01-10 01:15:00,0.0008100105569492,3.8603313533943255e-08,8.21176191908343e-08,0.0,0.0
2023-01-10 01:30:00,0.0008091862836697,3.845204287045562e-08,8.151278495850589e-08,0.0,0.0
2023-01-10 01:45:00,0.0008765589646979,3.8309637697717255e-08,8.021777832449423e-08,0.0,0.0
2023-01-10 02:00:00,0.0008976769445998,3.723028216351845e-08,7.529917376019077e-08,0.0,0.0
2023-01-10 02:15:00,0.000924178493412,3.628824813225261e-08,7.17875092200158e-08,0.0,0.0
2023-01-10 02:30:00,0.0009530868201212,3.535948475921517e-08,6.87280756164264e-08,0.0,0.0
2023-01-10 02:45:00,0.0009833698120638,3.45063083184094e-08,6.605201033291264e-08,0.0,0.0
2023-01-10 03:00:00,0.0010135105156705,3.287004570973884e-08,6.016988888650213e-08,0.0,0.0
2023-01-10 03:15:00,0.0010459695413676,3.2386535357744655e-08,5.8711849907009926e-08,0.0,0.0
2023-01-10 03:30:00,0.0010786505105684,3.1847522169448076e-08,5.7193529273698634e-08,0.0,0.0
2023-01-10 03:45:00,0.0011104196450895,3.1249164355049785e-08,5.562178059062405e-08,0.0,0.0
2023-01-10 04:00:00,0.0011450397887321,3.108853343656673e-08,5.53091506134973e-08,0.0,0.0
2023-01-10 04:15:00,0.0011681739164267,3.058650777718805e-08,5.3967092740465236e-08,0.0,0.0
2023-01-10 04:30:00,0.0011867338022135,3.002070537038306e-08,5.2531907323985024e-08,0.0,0.0
2023-01-10 04:45:00,0.0012043982233483,2.9432709934441486e-08,5.1109299872355206e-08,0.0,0.0
2023-01-10 05:00:00,0.0012321875836061,3.3218886476115914e-08,6.383182349358569e-08,0.0,0.0
2023-01-10 05:15:00,0.0012478066389118,3.27513190876732e-08,6.226983999724279e-08,0.0,0.0
2023-01-10 05:30:00,0.001263262161703,3.2184138888723495e-08,6.063735687427524e-08,0.0,0.0
2023-01-10 05:45:00,0.0012775410542771,3.1590206179714934e-08,5.9016411136436016e-08,0.0,0.0
2023-01-10 06:00:00,0.0014542278497082,3.3177991955099344e-07,0.9999998518582586,0.0,0.0
2023-01-10 06:15:00,0.0014590118337557,3.2886863433029666e-07,0.9999998496911586,0.0,0.0
2023-01-10 06:30:00,0.0014640731235658,3.2513629279609425e-07,0.99999984821696,0.0,0.0
2023-01-10 06:45:00,0.0014691928646546,3.208796286703844e-07,0.9999998472574374,0.0,0.0
2023-01-10 07:00:00,0.001626340766792,0.9999999752777584,0.9999999827557948,0.0,0.0
2023-01-10 07:15:00,0.0016292742222768,0.9999999753071266,0.999999982767057,0.0,0.0
2023-01-10 07:30:00,0.0016322876677013,0.9999999753684246,0.9999999827992512,0.0,0.0
2023-01-10 07:45:00,0.0016351424828008,0.9999999754304698,0.9999999828316082,0.0,0.0
2023-01-10 08:00:00,0.0019094529921599,0.9999999857694504,0.9999999894473508,0.0,0.0
2023-01-10 08:15:00,0.0019245846508945,0.9999999858195364,0.9999999893511442,0.0,0.0
