sample_id,t,trafo_index,loading_pct
s0001,0,0,53.658306
s0001,1,0,47.498665
s0001,2,0,43.260517
s0001,3,0,51.21422
s0001,4,0,58.20554
s0001,5,0,47.23859
s0001,6,0,47.49343
s0001,7,0,61.001358
s0001,8,0,53.67166
s0001,9,0,59.788994
s0001,10,0,59.367542
s0001,11,0,68.89951
s0001,12,0,64.190575
s0001,13,0,65.24366
s0001,14,0,63.71524
s0001,15,0,70.071
s0001,16,0,66.98946
s0001,17,0,64.91367
s0001,18,0,71.746155
s0001,19,0,67.41684
s0001,20,0,68.64975
s0001,21,0,67.45223
s0001,22,0,51.97112
s0001,23,0,70.967964
s0001,24,0,62.69268
s0001,25,0,74.048996
s0001,26,0,65.80624
s0001,27,0,61.78791
s0001,28,0,64.54744
s0001,29,0,69.7995
s0001,30,0,60.497215
s0001,31,0,63.984997
s0001,32,0,63.410374
s0001,33,0,48.97553
s0001,34,0,44.65305
s0001,35,0,56.395657
s0001,36,0,54.413883
s0001,37,0,61.563477
s0001,38,0,63.1731
s0001,39,0,47.357117
s0001,40,0,59.022747
s0001,41,0,59.619892
s0001,42,0,44.576347
s0001,43,0,62.93407
s0001,44,0,48.26011
s0001,45,0,70.56654
s0001,46,0,49.00603
s0001,47,0,47.287605
s0001,48,0,63.348427
s0001,49,0,44.377087
s0001,50,0,42.91201
s0001,51,0,60.622215
s0001,52,0,48.661232
s0001,53,0,49.50398
s0001,54,0,53.762188
s0001,55,0,57.122242
s0001,56,0,57.37859
s0001,57,0,59.73219
s0001,58,0,51.819664
s0001,59,0,66.33649
s0001,60,0,68.10926
s0001,61,0,56.3478
s0001,62,0,66.40332
s0001,63,0,75.10265
s0001,64,0,63.0688
s0001,65,0,72.35916
s0001,66,0,65.12902
s0001,67,0,65.19572
s0001,68,0,66.16224
s0001,69,0,65.37695
s0001,70,0,61.556038
s0001,71,0,56.45908
s0001,72,0,63.35038
s0001,73,0,75.371216
s0001,74,0,67.37165
s0001,75,0,77.41619
s0001,76,0,78.24396
s0001,77,0,77.02331
s0001,78,0,82.674904
s0001,79,0,77.4407
s0001,80,0,77.03822
s0001,81,0,75.14669
s0001,82,0,69.90745
s0001,83,0,69.383995
s0001,84,0,69.32646
s0001,85,0,66.23716
s0001,86,0,63.290283
s0001,87,0,67.00415
s0001,88,0,51.620113
s0001,89,0,61.56571
s0001,90,0,62.483646
s0001,91,0,63.358444
s0001,92,0,62.511925
s0001,93,0,72.59505
s0001,94,0,70.00837
s0001,95,0,72.525055
s0002,0,0,55.550213
s0002,1,0,53.03517
s0002,2,0,43.362957
s0002,3,0,46.275105
s0002,4,0,51.27662
s0002,5,0,55.199036
s0002,6,0,59.841118
s0002,7,0,61.67843
s0002,8,0,59.221386
s0002,9,0,52.87255
s0002,10,0,54.472927
s0002,11,0,79.46597
s0002,12,0,59.442795
s0002,13,0,58.556644
s0002,14,0,63.91223
s0002,15,0,58.84072
s0002,16,0,84.433556
s0002,17,0,63.648403
s0002,18,0,61.625763
s0002,19,0,63.96747
s0002,20,0,68.06058
s0002,21,0,69.83666
s0002,22,0,62.41677
s0002,23,0,70.12344
s0002,24,0,75.59646
s0002,25,0,67.13697
s0002,26,0,68.52955
s0002,27,0,70.39115
s0002,28,0,69.172226
s0002,29,0,77.056274
s0002,30,0,50.950546
s0002,31,0,73.20744
s0002,32,0,58.37763
s0002,33,0,58.631096
s0002,34,0,52.095154
s0002,35,0,48.80868
s0002,36,0,57.835106
s0002,37,0,56.004215
s0002,38,0,62.235588
s0002,39,0,28.74001
s0002,40,0,65.560394
s0002,41,0,25.567858
s0002,42,0,45.884983
s0002,43,0,36.987732
s0002,44,0,50.29784
s0002,45,0,51.87282
s0002,46,0,41.498356
s0002,47,0,33.10461
s0002,48,0,69.73823
s0002,49,0,46.171757
s0002,50,0,46.08666
s0002,51,0,66.07521
s0002,52,0,56.84779
s0002,53,0,52.263527
s0002,54,0,49.577602
s0002,55,0,64.28599
s0002,56,0,53.63595
s0002,57,0,62.438362
s0002,58,0,56.92252
s0002,59,0,62.425304
s0002,60,0,69.27798
s0002,61,0,64.99006
s0002,62,0,67.38271
s0002,63,0,70.04336
s0002,64,0,67.046906
s0002,65,0,67.58436
s0002,66,0,70.88354
s0002,67,0,65.0581
s0002,68,0,54.493156
s0002,69,0,66.79498
s0002,70,0,63.256382
s0002,71,0,60.06146
s0002,72,0,61.59582
s0002,73,0,70.885826
s0002,74,0,71.71712
s0002,75,0,71.56649
s0002,76,0,77.92163
s0002,77,0,70.5814
s0002,78,0,77.999344
s0002,79,0,79.242584
s0002,80,0,76.27719
s0002,81,0,77.389755
s0002,82,0,70.386536
s0002,83,0,59.643814
s0002,84,0,63.303783
s0002,85,0,68.10329
s0002,86,0,62.451767
s0002,87,0,61.07567
s0002,88,0,54.55168
s0002,89,0,56.316917
s0002,90,0,50.12216
s0002,91,0,70.17607
s0002,92,0,72.8464
s0002,93,0,71.37166
s0002,94,0,69.457466
s0002,95,0,76.615944
s0003,0,0,53.97279
s0003,1,0,54.726574
s0003,2,0,45.464947
s0003,3,0,44.493057
s0003,4,0,51.333008
s0003,5,0,56.99657
s0003,6,0,56.823803
s0003,7,0,53.451866
s0003,8,0,63.874023
s0003,9,0,63.349888
s0003,10,0,57.72576
s0003,11,0,66.585396
s0003,12,0,68.41679
s0003,13,0,66.34961
s0003,14,0,69.57018
s0003,15,0,64.3547
s0003,16,0,55.87864
s0003,17,0,69.32456
s0003,18,0,69.46893
s0003,19,0,57.076313
s0003,20,0,68.38821
s0003,21,0,70.0958
s0003,22,0,56.854393
s0003,23,0,66.5305
s0003,24,0,76.146996
s0003,25,0,73.81926
s0003,26,0,73.03217
s0003,27,0,71.44699
s0003,28,0,69.69536
s0003,29,0,73.01566
s0003,30,0,63.32758
s0003,31,0,69.69453
s0003,32,0,57.195904
s0003,33,0,59.24972
s0003,34,0,62.648174
s0003,35,0,50.065563
s0003,36,0,50.102005
s0003,37,0,52.183464
s0003,38,0,41.92354
s0003,39,0,32.52555
s0003,40,0,62.093594
s0003,41,0,54.332233
s0003,42,0,68.15462
s0003,43,0,66.75855
s0003,44,0,49.491745
s0003,45,0,34.54959
s0003,46,0,42.335663
s0003,47,0,30.01834
s0003,48,0,52.443684
s0003,49,0,50.449368
s0003,50,0,60.82247
s0003,51,0,55.575367
s0003,52,0,67.09341
s0003,53,0,59.691105
s0003,54,0,57.655254
s0003,55,0,60.145157
s0003,56,0,54.11664
s0003,57,0,63.32703
s0003,58,0,57.756145
s0003,59,0,67.39197
s0003,60,0,61.692772
s0003,61,0,58.883396
s0003,62,0,73.03621
s0003,63,0,71.229774
s0003,64,0,73.17055
s0003,65,0,73.40728
s0003,66,0,73.262115
s0003,67,0,67.15479
s0003,68,0,57.38206
s0003,69,0,62.13049
s0003,70,0,51.41656
s0003,71,0,57.26716
s0003,72,0,64.6961
s0003,73,0,73.08233
s0003,74,0,70.63248
s0003,75,0,79.14402
s0003,76,0,69.82039
s0003,77,0,77.09619
s0003,78,0,71.55007
s0003,79,0,78.797585
s0003,80,0,75.39217
s0003,81,0,75.95517
s0003,82,0,57.72068
s0003,83,0,62.812748
s0003,84,0,73.315254
s0003,85,0,71.7567
s0003,86,0,69.023705
s0003,87,0,65.36804
s0003,88,0,57.940388
s0003,89,0,64.32329
s0003,90,0,56.060196
s0003,91,0,68.00274
s0003,92,0,64.282936
s0003,93,0,70.74309
s0003,94,0,65.888176
s0003,95,0,69.62374
s0004,0,0,51.93979
s0004,1,0,48.22366
s0004,2,0,43.257202
s0004,3,0,47.533424
s0004,4,0,51.599113
s0004,5,0,58.75078
s0004,6,0,48.08455
s0004,7,0,53.75498
s0004,8,0,65.56311
s0004,9,0,53.7797
s0004,10,0,56.630028
s0004,11,0,64.74538
s0004,12,0,56.85897
s0004,13,0,53.60454
s0004,14,0,65.4501
s0004,15,0,61.78378
s0004,16,0,61.818718
s0004,17,0,58.04021
s0004,18,0,72.08746
s0004,19,0,62.054962
s0004,20,0,69.366455
s0004,21,0,63.110847
s0004,22,0,63.817074
s0004,23,0,63.109947
s0004,24,0,69.59461
s0004,25,0,74.31985
s0004,26,0,73.90518
s0004,27,0,63.758057
s0004,28,0,69.84938
s0004,29,0,69.02932
s0004,30,0,55.053837
s0004,31,0,59.892704
s0004,32,0,61.760815
s0004,33,0,46.341835
s0004,34,0,51.19542
s0004,35,0,54.56965
s0004,36,0,52.18271
s0004,37,0,62.6012
s0004,38,0,55.024433
s0004,39,0,54.999138
s0004,40,0,57.623047
s0004,41,0,57.15573
s0004,42,0,27.63357
s0004,43,0,61.63901
s0004,44,0,49.491882
s0004,45,0,41.347862
s0004,46,0,45.28071
s0004,47,0,25.53754
s0004,48,0,62.217945
s0004,49,0,52.53753
s0004,50,0,48.557953
s0004,51,0,41.789524
s0004,52,0,52.642178
s0004,53,0,56.51714
s0004,54,0,57.289146
s0004,55,0,60.65066
s0004,56,0,58.570385
s0004,57,0,63.635635
s0004,58,0,49.95685
s0004,59,0,66.343925
s0004,60,0,60.72049
s0004,61,0,62.171097
s0004,62,0,65.11005
s0004,63,0,73.07836
s0004,64,0,68.30024
s0004,65,0,61.856346
s0004,66,0,73.42467
s0004,67,0,59.10454
s0004,68,0,66.63492
s0004,69,0,68.93715
s0004,70,0,60.92452
s0004,71,0,61.627464
s0004,72,0,58.869667
s0004,73,0,75.48655
s0004,74,0,72.689285
s0004,75,0,76.99752
s0004,76,0,73.41784
s0004,77,0,71.4565
s0004,78,0,72.98111
s0004,79,0,76.72386
s0004,80,0,75.211655
s0004,81,0,74.19567
s0004,82,0,67.655556
s0004,83,0,54.784706
s0004,84,0,65.337326
s0004,85,0,66.039
s0004,86,0,77.1196
s0004,87,0,60.74558
s0004,88,0,63.189827
s0004,89,0,65.029655
s0004,90,0,53.54497
s0004,91,0,65.07287
s0004,92,0,59.164818
s0004,93,0,69.139435
s0004,94,0,66.61576
s0004,95,0,58.94433
s0005,0,0,51.65319
s0005,1,0,41.611877
s0005,2,0,46.755623
s0005,3,0,45.769306
s0005,4,0,51.665783
s0005,5,0,53.470913
s0005,6,0,49.968388
s0005,7,0,58.56056
s0005,8,0,63.066357
s0005,9,0,57.74901
s0005,10,0,59.30947
s0005,11,0,70.02111
s0005,12,0,65.19217
s0005,13,0,70.85851
s0005,14,0,57.411198
s0005,15,0,65.02482
s0005,16,0,61.294
s0005,17,0,62.840042
s0005,18,0,58.44271
s0005,19,0,66.99846
s0005,20,0,73.27861
s0005,21,0,73.327095
s0005,22,0,63.040924
s0005,23,0,65.284935
s0005,24,0,72.05194
s0005,25,0,68.676506
s0005,26,0,71.8878
s0005,27,0,66.908264
s0005,28,0,74.481316
s0005,29,0,68.12702
s0005,30,0,53.48891
s0005,31,0,66.7854
s0005,32,0,63.154346
s0005,33,0,55.915737
s0005,34,0,49.20597
s0005,35,0,53.432407
s0005,36,0,55.58984
s0005,37,0,58.09796
s0005,38,0,66.13084
s0005,39,0,44.364853
s0005,40,0,47.08194
s0005,41,0,45.20778
s0005,42,0,44.397293
s0005,43,0,24.544798
s0005,44,0,30.017933
s0005,45,0,51.463223
s0005,46,0,50.700096
s0005,47,0,46.758327
s0005,48,0,54.037457
s0005,49,0,42.25644
s0005,50,0,45.24867
s0005,51,0,59.544014
s0005,52,0,62.83351
s0005,53,0,52.76489
s0005,54,0,50.656837
s0005,55,0,57.26135
s0005,56,0,51.590317
s0005,57,0,65.16202
s0005,58,0,53.894184
s0005,59,0,58.713516
s0005,60,0,68.89502
s0005,61,0,60.10721
s0005,62,0,74.00035
s0005,63,0,75.72264
s0005,64,0,70.02332
s0005,65,0,62.32775
s0005,66,0,67.829506
s0005,67,0,69.050545
s0005,68,0,65.82631
s0005,69,0,54.00335
s0005,70,0,60.47582
s0005,71,0,57.25526
s0005,72,0,55.46291
s0005,73,0,66.167564
s0005,74,0,70.29157
s0005,75,0,74.01692
s0005,76,0,73.28712
s0005,77,0,74.50907
s0005,78,0,72.99005
s0005,79,0,77.209404
s0005,80,0,75.87253
s0005,81,0,78.43755
s0005,82,0,71.41877
s0005,83,0,62.712353
s0005,84,0,67.38117
s0005,85,0,68.827675
s0005,86,0,61.493607
s0005,87,0,61.284428
s0005,88,0,64.37731
s0005,89,0,63.479267
s0005,90,0,60.780956
s0005,91,0,72.30709
s0005,92,0,69.24595
s0005,93,0,70.3712
s0005,94,0,75.14806
s0005,95,0,70.0574
s0006,0,0,51.936825
s0006,1,0,45.97117
s0006,2,0,48.047302
s0006,3,0,42.898716
s0006,4,0,58.079704
s0006,5,0,51.94021
s0006,6,0,41.575626
s0006,7,0,54.454857
s0006,8,0,74.00637
s0006,9,0,58.235756
s0006,10,0,60.22146
s0006,11,0,67.55584
s0006,12,0,61.629707
s0006,13,0,57.44586
s0006,14,0,62.13134
s0006,15,0,66.49296
s0006,16,0,64.78082
s0006,17,0,68.25638
s0006,18,0,61.256397
s0006,19,0,64.795395
s0006,20,0,68.6837
s0006,21,0,67.01621
s0006,22,0,54.69767
s0006,23,0,74.62521
s0006,24,0,68.72578
s0006,25,0,57.557762
s0006,26,0,78.743576
s0006,27,0,62.959667
s0006,28,0,73.35049
s0006,29,0,61.56839
s0006,30,0,57.777077
s0006,31,0,63.20604
s0006,32,0,56.73209
s0006,33,0,61.1514
s0006,34,0,51.42135
s0006,35,0,59.71039
s0006,36,0,50.171955
s0006,37,0,62.516407
s0006,38,0,59.25611
s0006,39,0,40.307056
s0006,40,0,52.072166
s0006,41,0,50.528297
s0006,42,0,45.600346
s0006,43,0,54.081303
s0006,44,0,43.586773
s0006,45,0,54.20688
s0006,46,0,41.911453
s0006,47,0,26.923521
s0006,48,0,37.89213
s0006,49,0,40.11312
s0006,50,0,51.229504
