t,trafo_0_loading_pct
0,45.869930057265954
1,48.56034569264175
2,46.67472806037015
3,47.43318959962656
4,53.186210891692475
5,53.67031611012022
6,53.79307824342723
7,57.05475961107275
8,61.668605111690056
9,60.08217970484636
10,60.552492345289636
11,65.96523730394816
12,67.69153286595173
13,67.72326967083299
14,67.49715906994938
15,69.89774376788903
16,66.29399652316856
17,66.1667958810099
18,65.393031915714
19,65.8343546954284
20,68.9827685663029
21,66.76644084319429
22,63.5286828218615
23,70.51046423477058
24,71.2381659207256
25,69.29335514256559
26,71.4737268387745
27,65.65733219081484
28,71.05494046556008
29,69.89733048850744
30,59.572883390533036
31,64.64168837694316
32,56.1063083940899
33,53.18146505395613
34,53.04145477914361
35,53.884013134716305
36,60.77538647235633
37,66.41774633199799
38,68.49272145992666
39,63.71425575395829
40,73.8878786016746
41,66.7948524964362
42,64.72902542813416
43,68.16693165600677
44,68.2066768071943
45,70.33344862511125
46,61.30101003187141
47,64.54746672686834
48,74.88814880897911
49,71.28250471469148
50,70.84201146756402
51,71.48624859801048
52,66.06558537827728
53,65.3056585021635
54,65.08946488100932
55,66.31034665932746
56,67.20146259868129
57,69.01756030117244
58,60.650689958734326
59,66.08470791881363
60,59.824260505508484
61,65.35303946400872
62,73.374372312171
63,73.11910531893086
64,64.64793020741178
65,69.17604321860324
66,73.34377524659344
67,71.03691938982601
68,70.59926690659172
69,63.10153798597279
70,61.24365790372976
71,62.493980270596275
72,63.269312290153344
73,70.18467155889125
74,78.59872765895331
75,78.67082590377639
76,78.6514825414089
77,78.51208574445886
78,77.9019311382236
79,78.25424228408879
80,77.27510466819912
81,76.47342681518577
82,61.44519485821747
83,61.04508361310303
84,63.27961730447284
85,68.16019210874859
86,62.90690810576002
87,62.79852357533897
88,63.07680603561134
89,63.09980835961843
90,58.05804167781885
91,70.99817881501997
92,71.52313331983672
93,72.68472850693739
94,72.12274709788402
95,72.07417837210734
