timestamp,flex_v2_sum_mw,flex_v3_sum_mw,diff_mw,rel_pct
2023-01-10 00:00:00,0.0,0.0,0.0,
2023-01-10 00:15:00,0.0,0.0,0.0,
2023-01-10 00:30:00,0.0,0.0,0.0,
2023-01-10 00:45:00,0.0,0.0,0.0,
2023-01-10 01:00:00,0.0,0.0,0.0,
2023-01-10 01:15:00,0.0,0.0,0.0,
2023-01-10 01:30:00,0.0,0.0,0.0,
2023-01-10 01:45:00,0.0,0.0,0.0,
2023-01-10 02:00:00,0.0,0.0,0.0,
2023-01-10 02:15:00,0.0,0.0,0.0,
2023-01-10 02:30:00,0.0,0.0,0.0,
2023-01-10 02:45:00,0.0,0.0,0.0,
2023-01-10 03:00:00,0.0,0.0,0.0,
2023-01-10 03:15:00,0.0,0.0,0.0,
2023-01-10 03:30:00,0.0,0.0,0.0,
2023-01-10 03:45:00,0.0,0.0,0.0,
2023-01-10 04:00:00,0.0,0.0,0.0,
2023-01-10 04:15:00,0.0,0.0,0.0,
2023-01-10 04:30:00,0.0,0.0,0.0,
2023-01-10 04:45:00,0.0,0.0,0.0,
2023-01-10 05:00:00,0.0,0.0,0.0,
2023-01-10 05:15:00,0.0,0.0,0.0,
2023-01-10 05:30:00,0.0,0.0,0.0,
2023-01-10 05:45:00,0.0,0.0,0.0,
2023-01-10 06:00:00,0.0,0.0,0.0,
2023-01-10 06:15:00,0.0,0.0,0.0,
2023-01-10 06:30:00,0.0,0.0,0.0,
2023-01-10 06:45:00,0.0,0.0,0.0,
2023-01-10 07:00:00,0.0,0.0,0.0,
2023-01-10 07:15:00,0.0,0.0,0.0,
2023-01-10 07:30:00,0.0,0.0,0.0,
2023-01-10 07:45:00,0.0,0.0,0.0,
2023-01-10 08:00:00,0.0,0.0,0.0,
2023-01-10 08:15:00,0.0,0.0,0.0,
2023-01-10 08:30:00,0.0,0.0,0.0,
2023-01-10 08:45:00,0.0,0.0,0.0,
2023-01-10 09:00:00,0.0,0.0,0.0,
2023-01-10 09:15:00,0.0,0.0,0.0,
2023-01-10 09:30:00,0.0,0.0,0.0,
2023-01-10 09:45:00,0.0,0.0,0.0,
2023-01-10 10:00:00,0.0,0.0,0.0,
2023-01-10 10:15:00,0.0,0.0,0.0,
2023-01-10 10:30:00,0.0,0.0,0.0,
2023-01-10 10:45:00,0.0,0.0,0.0,
2023-01-10 11:00:00,0.0,0.0,0.0,
2023-01-10 11:15:00,0.0,0.0,0.0,
2023-01-10 11:30:00,0.0,0.0,0.0,
2023-01-10 11:45:00,0.0,0.0,0.0,
2023-01-10 12:00:00,0.0,0.0,0.0,
2023-01-10 12:15:00,0.0,0.0,0.0,
2023-01-10 12:30:00,0.0,0.0,0.0,
2023-01-10 12:45:00,0.0,0.0,0.0,
2023-01-10 13:00:00,0.0,0.0,0.0,
2023-01-10 13:15:00,0.0,0.0,0.0,
2023-01-10 13:30:00,0.0,0.0,0.0,
2023-01-10 13:45:00,0.0,0.0,0.0,
2023-01-10 14:00:00,0.0,0.0,0.0,
2023-01-10 14:15:00,0.0,0.0,0.0,
2023-01-10 14:30:00,0.0,0.0,0.0,
2023-01-10 14:45:00,0.0,0.0,0.0,
2023-01-10 15:00:00,0.0,0.0,0.0,
2023-01-10 15:15:00,0.021613519999999997,0.021613519999999997,0.0,0.0
2023-01-10 15:30:00,0.0109999999939287,0.0109999999939287,0.0,0.0
2023-01-10 15:45:00,0.019835439983218302,0.019835439983218302,0.0,0.0
2023-01-10 16:00:00,0.011,0.011,0.0,0.0
2023-01-10 16:15:00,0.0219999999837318,0.0219999999837318,0.0,0.0
2023-01-10 16:30:00,0.0329999999771154,0.0329999999771154,0.0,0.0
2023-01-10 16:45:00,0.054999999963076,0.054999999963076,0.0,0.0
2023-01-10 17:00:00,0.0411771199598249,0.0411771199598249,0.0,0.0
2023-01-10 17:15:00,0.022,0.022,0.0,0.0
2023-01-10 17:30:00,0.033,0.033,0.0,0.0
2023-01-10 17:45:00,0.035219600000000004,0.035219600000000004,0.0,0.0
2023-01-10 18:00:00,0.023095519999999998,0.023095519999999998,0.0,0.0
2023-01-10 18:15:00,0.0219999999835196,0.0219999999835196,0.0,0.0
2023-01-10 18:30:00,0.0329999999725848,0.0329999999725848,0.0,0.0
2023-01-10 18:45:00,0.0312336075476978,0.0312336075476978,0.0,0.0
2023-01-10 19:00:00,0.0236528868398853,0.0236528868398853,0.0,0.0
2023-01-10 19:15:00,0.0231178399734475,0.0231178399734475,0.0,0.0
2023-01-10 19:30:00,0.0213935999873651,0.0213935999873651,0.0,0.0
2023-01-10 19:45:00,0.0004695199948732,0.0004695199948732,0.0,0.0
2023-01-10 20:00:00,0.0,0.0,0.0,
2023-01-10 20:15:00,0.0,0.0,0.0,
2023-01-10 20:30:00,0.0,0.0,0.0,
2023-01-10 20:45:00,0.0,0.0,0.0,
2023-01-10 21:00:00,0.0,0.0,0.0,
2023-01-10 21:15:00,0.0,0.0,0.0,
2023-01-10 21:30:00,0.0,0.0,0.0,
2023-01-10 21:45:00,0.0,0.0,0.0,
2023-01-10 22:00:00,0.0,0.0,0.0,
2023-01-10 22:15:00,0.0,0.0,0.0,
2023-01-10 22:30:00,0.0,0.0,0.0,
2023-01-10 22:45:00,0.0,0.0,0.0,
2023-01-10 23:00:00,0.0,0.0,0.0,
2023-01-10 23:15:00,0.0,0.0,0.0,
2023-01-10 23:30:00,0.0,0.0,0.0,
2023-01-10 23:45:00,0.0,0.0,0.0,
