import_mwh,energy_cost_eur,peak_import_mw,pv_energy_mwh,hp_resid_energy_mwh_abs,avg_temp_c,v_min_pu,v_max_pu,max_line_loading_pct,max_trafo_loading_pct,max_trafo_loading_pct_optionA,steps_line_over_80pct,steps_trafo_over_80pct,loading_violation_threshold_pct,steps_voltage_violation,pv_curtail_mwh,bess_rt_energy_throughput_mwh,imbalance_mwh,bess_soc_clip_steps,residual_policy_std,residual_policy_frac_negative,da_energy_cost_eur,rt_pv_curtail_cost_eur,rt_imbalance_cost_eur,rt_bess_cycle_cost_eur,total_cost_eur,sample_id,n_steps,flex_baseline_energy_mwh,flex_realized_energy_mwh,flex_curtail_energy_mwh,flex_avg_curtailment_mw,flex_peak_curtailment_mw,flex_energy_curtailed_pct,flex_ycap_energy_mwh
7.201045862389069,809.1257518033024,0.39835119680766623,0.37125225320157834,0.22168166679855356,-4.924578508684824,1.0,1.0172220478176988,73.42116741905113,81.50367539271386,81.50367539271386,0,2,80.0,0,0.005154056550203503,0.16918127721332676,0.12889708266706873,0,0.014956261553415149,0.4583333333333333,811.036242891193,0.6848361862594177,16.954897762234882,0.8628245137879663,829.5388013534752,s0001,96,0.18662381999999994,0.1787864650330459,0.007837355809755628,0.00032655649207315114,0.0204044583692542,4.199547415627668,0.007837355809755753
7.233654557209063,812.1558965533254,0.39835119655883217,0.40323201896887817,0.24980727328128532,-4.779471613416457,1.0,1.01731481870075,77.76317697623232,85.91031842551453,85.91031842551453,0,3,80.0,0,0.0038762490632917846,0.1836424219907083,0.13583256371568037,1,0.016448988926985663,0.4375,811.036242891193,0.5150503498874487,17.544503116836182,0.9365763521526117,830.0323727100692,s0002,96,0.18662381999999994,0.1787864650330459,0.007837355809755628,0.00032655649207315114,0.0204044583692542,4.199547415627668,0.007837355809755753
7.255375755839415,814.7441741215594,0.398351196538825,0.35285646955865446,0.2737353969910389,-4.8266916909954185,1.0,1.018676159047096,77.44465820008848,92.00291152710327,92.00291152710327,0,3,80.0,0,1.6396009710489894e-07,0.17706637258015598,0.17020024504080938,1,0.017171105962250043,0.4583333333333333,811.036242891193,2.30019469522844e-05,22.24648540854169,0.9030385001587954,834.1857898018404,s0003,96,0.18662381999999994,0.1787864650330459,0.007837355809755628,0.00032655649207315114,0.0204044583692542,4.199547415627668,0.007837355809755753
7.260183440337892,815.0312778792081,0.3983511967406458,0.3444007293820355,0.23044461150015388,-4.8452164307416306,1.0,1.017656009144888,75.98915789140615,84.60239755322316,84.60239755322316,0,5,80.0,0,0.0027387053021976073,0.15254741153416917,0.1541730824828814,0,0.014825263039363257,0.4791666666666667,811.036242891193,0.36390205316374624,20.173694039861623,0.777991798824263,832.3518307830426,s0004,96,0.18662381999999994,0.1787864650330459,0.007837355809755628,0.00032655649207315114,0.0204044583692542,4.199547415627668,0.007837355809755753
7.246642841967535,814.0956208187565,0.39835119799432406,0.3541731880620054,0.229966736367032,-4.786286687200612,1.0,1.016443730942573,74.51294077274515,79.27976701420995,79.27976701420995,0,0,80.0,0,0.007655417664150297,0.15701858493193407,0.16149530681652774,0,0.01671824781930558,0.46875,811.036242891193,1.0172007206823295,21.313050595098222,0.8007947831528638,834.1672889901264,s0005,96,0.18662381999999994,0.1787864650330459,0.007837355809755628,0.00032655649207315114,0.0204044583692542,4.199547415627668,0.007837355809755753
7.249523069168404,814.2670440638202,0.39835119771231775,0.3417613293254491,0.2687712377352282,-4.86228348044469,1.0,1.0172324287739902,75.00334269433432,81.55839238344154,81.55839238344154,0,2,80.0,0,3.039200705779976e-07,0.1820661640481279,0.1764074499427122,0,0.01793335556716785,0.4583333333333333,811.036242891193,4.2175269137545585e-05,22.993799964145296,0.9285374366454532,834.9586224672529,s0006,96,0.18662381999999994,0.1787864650330459,0.007837355809755628,0.00032655649207315114,0.0204044583692542,4.199547415627668,0.007837355809755753
7.215894571426432,810.8863030995606,0.3983511996494565,0.3747966917030537,0.26756478241005277,-4.75946654087937,1.0,1.0171963129221548,75.52652396802084,81.45424147774646,81.45424147774646,0,2,80.0,0,0.00834095285803999,0.20853258717627757,0.13651399068509973,1,0.017197680194850403,0.4479166666666667,811.036242891193,1.108289681072801,17.855664241795985,1.0635161945990155,831.0637130086609,s0007,96,0.18662381999999994,0.1787864650330459,0.007837355809755628,0.00032655649207315114,0.0204044583692542,4.199547415627668,0.007837355809755753
7.246550530966342,813.9106318816898,0.39835119782943057,0.4106469716595117,0.2346871385920467,-4.8456129947167925,1.0,1.017274204172628,73.72330996465101,82.19538167152547,82.19538167152547,0,2,80.0,0,0.0068322252005151,0.16266115612435306,0.15235983090128077,2,0.01661008682049492,0.5,811.036242891193,0.9078203319026074,20.240780577179883,0.8295718962342008,833.0144156965097,s0008,96,0.18662381999999994,0.1787864650330459,0.007837355809755628,0.00032655649207315114,0.0204044583692542,4.199547415627668,0.007837355809755753
7.257179957793744,814.8028437746627,0.3983511970678312,0.37681670444539445,0.2471954267066549,-4.883056871807454,1.0,1.0175123402868722,72.89666168964818,83.755521308309,83.755521308309,0,1,80.0,0,0.010688436148996432,0.17002435576554176,0.1561556456410756,1,0.018566747688316225,0.3854166666666667,811.036242891193,1.4202057751932284,20.70919106553445,0.8671242144042626,834.032763946325,s0009,96,0.18662381999999994,0.1787864650330459,0.007837355809755628,0.00032655649207315114,0.0204044583692542,4.199547415627668,0.007837355809755753
7.265469829624754,815.9405639443262,0.3983511957665937,0.33471444037894593,0.2721376941959195,-4.762380374544936,1.0,1.0188464490350286,75.65951221788696,91.64798089865572,91.64798089865572,0,3,80.0,0,4.2706791152510364e-07,0.17154544552918896,0.17049798859362492,0,0.01622460666879086,0.4375,811.036242891193,5.8975944157321204e-05,22.384160749401634,0.8748817721988636,834.2953443887376,s0010,96,0.18662381999999994,0.1787864650330459,0.007837355809755628,0.00032655649207315114,0.0204044583692542,4.199547415627668,0.007837355809755753
