import_mwh,energy_cost_eur,peak_import_mw,pv_energy_mwh,hp_resid_energy_mwh_abs,avg_temp_c,v_min_pu,v_max_pu,max_line_loading_pct,max_trafo_loading_pct,steps_line_over_80pct,steps_trafo_over_80pct,loading_violation_threshold_pct,steps_voltage_violation,pv_curtail_mwh,bess_rt_energy_throughput_mwh,imbalance_mwh,bess_soc_clip_steps,residual_policy_std,residual_policy_frac_negative,da_energy_cost_eur,rt_pv_curtail_cost_eur,rt_imbalance_cost_eur,rt_bess_cycle_cost_eur,total_cost_eur,sample_id
7.517382099930971,837.7079479238664,0.4750469414774771,0.3948921139679168,0.5727237412861367,-4.816229113852316,0.9673219927509517,1.0059894843800146,180.5118449579487,94.23893384911483,93,11,80.0,0,4.1913320748335635e-12,0.5485546021457286,1.100876951185601,12,0.03184115290833497,0.5208333333333334,836.4029357234988,4.350565631929603e-10,160.8768395672919,0.2742773010728643,997.5540525922986,s0001
7.273862113677719,814.4508515621749,0.5078023340246731,0.38160895921632754,0.6247145992452315,-4.879987278350253,0.9633023301003958,1.003775028668881,145.77543309485006,103.01473982730165,93,10,80.0,0,3.5237551804703182e-12,0.5902339304752464,1.1617094858480042,22,0.034944041268000256,0.4166666666666667,836.4029357234988,4.0066700438785845e-10,168.1587925399591,0.2951169652376232,1004.8568452290962,s0002
7.357540887920396,821.8378842643067,0.509005098237857,0.3234984854667914,0.6722838228676363,-4.795094909919448,0.9638095729709187,1.0040800731284538,174.43264642836965,100.46070292673883,92,12,80.0,0,2.2198975078046838e-12,0.6184552550736678,1.2544227052069163,18,0.03780876847249953,0.4583333333333333,836.4029357234988,2.2689572427271672e-10,180.71079997014937,0.3092276275368339,1017.4229633214119,s0003
7.576509317201605,850.7909069685123,0.5039656857094355,0.38152539409216113,0.6017354539468548,-4.786080796416042,0.9657068030005931,1.007765699071205,145.08701963504288,98.530545326539,93,15,80.0,0,2.2467282800305097e-12,0.6093626411984039,1.1607756817534307,13,0.03295557044190524,0.5104166666666666,836.4029357234988,2.2963809750191839e-10,165.52693026408596,0.30468132059920194,1002.2345473084137,s0004
7.5120510201652015,837.0747045470225,0.45219420638151203,0.3512170928687745,0.5726736703392812,-4.92318419479794,0.9671139566307179,0.998167245179478,148.5042563645366,95.23493581738045,91,15,80.0,0,0.0,0.5727840631657124,1.1081455145424322,10,0.0318697307761229,0.4479166666666667,836.4029357234988,0.0,160.10188481800154,0.2863920315828562,996.7912125730832,s0005
7.475482566439163,833.3750858754988,0.45123915548137283,0.36956032538428946,0.6717178375918629,-4.892419109048073,0.9669301154027187,0.99592056766947,154.90937720493164,96.15832120921107,91,16,80.0,0,1.958974065947596e-12,0.6587472098578572,1.3110270724369872,16,0.033988996539358,0.4791666666666667,836.4029357234988,2.068872511047256e-10,189.66286999179744,0.3293736049289286,1026.395179320432,s0006
7.541478559644853,843.1558406643467,0.4957168507505959,0.38023391312579624,0.6660321072871137,-4.824615610688302,0.9642873840623208,1.0008652318641205,162.2881174557238,100.3289838473959,91,12,80.0,0,1.5635948996077062e-12,0.5924041243801735,1.2647277508132562,16,0.0351918648839149,0.5104166666666666,836.4029357234988,2.038771389598488e-10,185.36179450153597,0.29620206219008677,1022.0609322874287,s0007
7.48695952745205,839.410576580874,0.4700644826975949,0.36719550428752895,0.5945683909281712,-4.845671527774868,0.9672933120205147,0.9990616987649042,156.4350031968291,95.16171930165336,91,10,80.0,0,3.991842302791655e-12,0.5713695437774088,1.151110683424516,11,0.03132635939742834,0.4583333333333333,836.4029357234988,4.2018183308216236e-10,167.56583680717645,0.2856847718887044,1004.2544573029841,s0008
7.175050054357598,799.5156342641061,0.4381502368297923,0.4234481409966463,0.6284210793652363,-4.831473699693191,0.9679645358327841,1.0105022872767062,150.03852889115078,91.87918351027048,91,9,80.0,0,3.668605360769281e-12,0.5800133715608912,1.2132644048571148,15,0.03205483716329958,0.3645833333333333,836.4029357234988,4.0033423510931703e-10,176.67829684539797,0.2900066857804456,1013.3712392550775,s0009
7.416002435718962,829.7415893896052,0.5141868059806176,0.3321931578896906,0.6716841168630694,-4.871123626866299,0.9637571268946665,0.9956849439428594,152.78977802142566,95.87336841482654,93,10,80.0,0,0.0,0.6585831414317977,1.2849624037548555,19,0.03694305326891395,0.4583333333333333,836.4029357234988,0.0,186.29381124016447,0.3292915707158989,1023.0260385343792,s0010
7.491259592101862,841.0036912663013,0.49645194229095424,0.32506203440772635,0.6233510238434348,-4.788980979154621,0.9649135237086738,1.0027374472063173,158.51768661718793,97.68039539259225,91,13,80.0,0,3.4970174068226936e-12,0.5735297406628374,1.1862378499151949,16,0.03431369752255443,0.46875,836.4029357234988,3.9728066661579244e-10,174.42636999613202,0.2867648703314187,1011.1160705903596,s0011
7.5196641247675995,836.5396710732078,0.4925049655432693,0.35407031953029067,0.6268816658255831,-4.793798565874764,0.9651544526678651,1.0096375203050372,153.19157669767714,97.1985967861089,90,14,80.0,0,1.7594842939056872e-12,0.5865043565298853,1.204452867023772,15,0.03319916728213349,0.46875,836.4029357234988,1.9201252099392763e-10,173.34041368481462,0.29325217826494265,1010.0366015867704,s0012
7.287398007580425,816.01738165426,0.4776564132436465,0.3812165092054759,0.638695933948367,-4.8275462791659125,0.9677697356742654,0.9964041987838137,131.03307890368177,92.7067308259545,90,10,80.0,0,5.315940475790821e-12,0.6039912663493744,1.203466178518057,18,0.035712943967480155,0.40625,836.4029357234988,6.423219949613984e-10,176.5945783305141,0.3019956331746872,1013.2995096878299,s0013
