epsilon,label,da_import_cost_mean,rt_imbalance_cost_mean,rt_pv_cost_mean,rt_bess_cost_mean,trafo_steps,line_steps,trafo_violation_probability_pct,horizon_timesteps,total_rt_cost_mean,is_deterministic,trafo_cvar90_loading_pct,trafo_cvar95_loading_pct,trafo_violation_excess_cvar90_pct,trafo_violation_excess_cvar95_pct,plot_order,import_cost_eur_mean,pv_rt_curt_cost_eur_mean,bess_rt_cycle_cost_eur_mean,total_cost_eur_mean,voltage_steps,line_steps_legacy,trafo_steps_legacy
,deterministic,811.0362299011134,21.004217200398383,0.0,0.8598053222424521,278,2,2.895833333333333,96,21.864022522640834,1,77.9583511352539,81.5448226928711,,,0,,,,,,,
0.3,0.30,810.8348833286275,27.362676926798553,0.0,0.6569189401697395,280,2,2.9166666666666665,96,28.01959586696829,0,78.03607940673828,81.60781860351562,,,1,810.8990849754356,0.0,0.0,810.8990849754356,0.0,2.0,280.0
0.2,0.20,810.7725900067907,32.970905345627926,0.0,0.6197729771169637,279,2,2.90625,96,33.59067832274489,0,77.9996337890625,81.54977416992188,,,2,809.7859267492909,0.0,0.0,809.7859267492909,0.0,2.0,279.0
0.1,0.10,810.6407171816381,39.64846130103731,0.0,0.6176126523242644,245,2,2.5520833333333335,96,40.26607395336157,0,77.78386688232422,80.99303436279297,,,3,807.8234461057353,0.0,0.0,807.8234461057353,0.0,2.0,245.0
