import_mwh,energy_cost_eur,peak_import_mw,pv_energy_mwh,hp_resid_energy_mwh_abs,avg_temp_c,v_min_pu,v_max_pu,max_line_loading_pct,max_trafo_loading_pct,steps_line_over_80pct,steps_trafo_over_80pct,loading_violation_threshold_pct,steps_voltage_violation,pv_curtail_mwh,bess_rt_energy_throughput_mwh,imbalance_mwh,bess_soc_clip_steps,residual_policy_std,residual_policy_frac_negative,da_energy_cost_eur,rt_pv_curtail_cost_eur,rt_imbalance_cost_eur,rt_bess_cycle_cost_eur,total_cost_eur,sample_id,n_steps
7.4990141967112365,836.5196416677811,0.45855681217746114,0.3948921139679168,0.5727237412861367,-4.816229113852316,0.9690315284965377,1.0035894843800146,131.7328755433707,87.538537592818,92,7,80.0,0,0.05259231145260525,0.20320982884416236,0.8048925101647485,4,0.031841152903954686,0.5208333333333334,836.8574948604011,5.736529092680783,122.61601307547706,0.10160491442208118,965.311641942981,s0001,96
7.416146267676585,829.3127730267267,0.5078023795337288,0.38160895921632754,0.6247145992452315,-4.879987278350253,0.9633023301003958,0.9977477432581319,145.77543309485006,103.01473982730165,91,7,80.0,0,0.09502422186186303,0.22867125707703725,0.8834107952362344,6,0.034944041262444235,0.4166666666666667,836.8574948604011,10.780623471197465,133.52659090909836,0.11433562853851863,981.2790448692353,s0002,96
7.478390271483532,835.4907907034421,0.4962298394825664,0.3234984854667914,0.6722838228676363,-4.795094909919448,0.9638095729709187,1.0037430747861031,141.71058600440864,99.68523002738013,91,8,80.0,0,0.03820080984435925,0.20651739085651827,0.940075834089841,5,0.03780876848918508,0.4583333333333333,836.8574948604011,4.4804795759777445,140.189582581722,0.10325869542825913,981.630815713529,s0003,96
7.669307534095733,860.4271764513778,0.4921075632338852,0.38152539409216113,0.6017354539468548,-4.786080796416042,0.9666851602444156,1.0073085009939295,138.69645613630945,91.9364380827439,91,11,80.0,0,0.07169680177575072,0.19259521611353878,0.8458128455743774,3,0.03295557043926663,0.5104166666666666,836.8574948604011,7.9798158281987535,125.56489691511541,0.09629760805676939,970.4985052117719,s0004,96
7.5536990019407995,842.4267691026184,0.4135941905057478,0.3512170928687745,0.5726736703392812,-4.92318419479794,0.9695139540297895,0.9972430735020681,136.71773562174567,85.27471124192887,90,8,80.0,0,0.0393965929326465,0.18900829365885422,0.7909465731806054,3,0.031869730790274234,0.4479166666666667,836.8574948604011,4.458883772009455,119.67970354282896,0.09450414682942711,961.0905863220689,s0005,96
7.510387760961865,837.6766053983499,0.4414534073013393,0.36956032538428946,0.6717178375918629,-4.892419109048073,0.9675849785330081,0.9958505944550128,135.65328567018383,94.01135922152429,89,8,80.0,0,0.03927062977781533,0.22177566415765604,0.9129991989261721,3,0.03398899653741779,0.4791666666666667,836.8574948604011,4.073522538263534,137.4952233640029,0.11088783207882802,978.5371285947463,s0006,96
7.541225485242707,843.2532704465177,0.49571689625965143,0.38023391312579624,0.6660321072871137,-4.824615610688302,0.9642873840623208,0.9999095089506649,141.3374412714454,100.3289838473959,91,7,80.0,0,0.032103723610638506,0.22347430073062002,0.9227381133450452,5,0.035191864876842345,0.5104166666666666,836.8574948604011,3.7084895445316457,140.56433167368195,0.11173715036531001,981.24205322898,s0007,96
7.58899213419482,850.6277063737338,0.44544336414653274,0.36719550428752895,0.5945683909281712,-4.845671527774868,0.9684102707090935,0.9995955438586859,134.01187289851268,89.36220470027753,91,7,80.0,0,0.04127167202090137,0.20338278163313372,0.8390362720191853,2,0.03132635939941091,0.4583333333333333,836.8574948604011,4.373931775380295,127.04121265288654,0.10169139081656686,968.3743306794844,s0008,96
7.270262566784559,809.3877448548069,0.42460437387551103,0.4234481409966463,0.6284210793652363,-4.831473699693191,0.9689968334087585,1.010359677537443,135.46411627069168,84.16544619707447,91,7,80.0,0,0.06741076653872483,0.20166910459391116,0.8899666502263238,3,0.03205483715623625,0.3645833333333333,836.8574948604011,7.1965260117438605,134.82033131934313,0.10083455229695558,978.9751867437851,s0009,96
7.550605051874479,844.4722107774367,0.4878631573479568,0.3321931578896906,0.6716841168630694,-4.871123626866299,0.9637571268946665,0.9932849439428594,137.86127528976039,95.87336841482654,91,5,80.0,0,0.05251436818874003,0.22015712996320208,0.972902195863753,3,0.03694305326134759,0.4583333333333333,836.8574948604011,5.628217249653093,146.45079843899387,0.11007856498160104,989.0465891140295,s0010,96
7.617109698820308,854.2879237788505,0.48747754519020936,0.32506203440772635,0.6233510238434348,-4.788980979154621,0.9649135237086738,1.0003374472063171,140.9818990570217,97.68039539259225,88,8,80.0,0,0.04208600999351793,0.22758919537450345,0.9313620670265388,3,0.03431369753072856,0.46875,836.8574948604011,4.769572855622498,141.80895133256337,0.11379459768725173,983.5498136462743,s0011,96
7.543503550694128,839.9719006796216,0.47972970678797866,0.35407031953029067,0.6268816658255831,-4.793798565874764,0.9651544526678651,0.9967273721980152,137.36786396787252,96.00357539416716,88,10,80.0,0,0.04127167202090137,0.22399395715140535,0.8806739772089824,5,0.03319916728806487,0.46875,836.8574948604011,4.373931775380295,132.06306830770194,0.11199697857570268,973.4064919220589,s0012,96
7.415992657976965,829.5307027577333,0.47436600045196464,0.3812165092054759,0.638695933948367,-4.8275462791659125,0.9684372884015571,0.9972679156092178,131.11326206270473,89.7502749090642,89,8,80.0,0,0.06620374130509799,0.23574675668275363,0.908845280925727,8,0.03571294395032845,0.40625,836.8574948604011,7.518516302893941,139.25621859983895,0.11787337834137682,983.7501031414753,s0013,96
