epsilon,label,da_import_cost_mean,da_total_cost_eur,rt_imbalance_cost_mean,rt_pv_cost_mean,rt_bess_cost_mean,trafo_steps,line_steps,trafo_violation_probability_pct,horizon_timesteps,total_rt_cost_mean,is_deterministic,n_trajectories,trafo_cvar90_loading_pct,trafo_cvar95_loading_pct,trafo_violation_excess_cvar90_pct,trafo_violation_excess_cvar95_pct,rt_tag,plot_order,all_in_total_cost_mean
0.15,0.15 (RT ON),823.6122251718095,843.0652016795682,56.118277719714854,0.0,2.3046967961046363,687,29,3.578125,96,58.42297451581949,0,200,78.81936867634455,80.30661030610402,9.439552307128906,9.439552307128906,rt_on,0,901.4881761953877
0.1,0.10 (RT ON),823.1870089359893,845.8782489578738,56.882258991714544,0.0,2.4545641442924397,236,29,1.2291666666666665,96,59.336823136006984,0,200,78.51515367428462,79.88166457811991,9.277847290039062,9.277847290039062,rt_on,1,905.2150720938807
0.1,0.10 (RT OFF),817.0030396184163,882.7553210050585,116.59626022979376,0.0,18.46624824932652,744,52,3.875,96,135.06250847912028,0,200,79.93080459038417,83.23441107273102,22.630470275878906,22.630470275878906,rt_off,1,1017.8178294841788
0.05,0.05 (RT ON),818.3888362011651,877.5383887106677,57.590367068411325,0.0,2.0519905715814106,42,29,0.21875000000000003,96,59.64235763999274,0,200,75.66481134096782,77.29389821688333,6.399375915527344,6.399375915527344,rt_on,2,937.1807463506605
