import_mwh,energy_cost_eur,peak_import_mw,pv_energy_mwh,hp_resid_energy_mwh_abs,avg_temp_c,v_min_pu,v_max_pu,max_line_loading_pct,max_trafo_loading_pct,max_trafo_loading_pct_optionA,steps_line_over_80pct,steps_trafo_over_80pct,loading_violation_threshold_pct,steps_voltage_violation,pv_curtail_mwh,bess_rt_energy_throughput_mwh,bess_rt_energy_throughput_realized_mwh,imbalance_mwh,bess_soc_clip_steps,rt_opt_slack_pct_hours,rt_opt_used_steps,rt_opt_action_steps,rt_opt_slack_steps,bess_clip_power_steps,bess_clip_energy_steps,bess_clip_both_steps,bess_clip_total_energy_mwh,bess_clip_max_abs_mw,bess_clip_avg_abs_mw,bess_headroom_charge_avg_mw,bess_headroom_discharge_avg_mw,residual_policy_std,residual_policy_frac_negative,da_energy_cost_eur,rt_pv_curtail_cost_eur,rt_imbalance_cost_eur,rt_bess_cycle_cost_eur,rt_bess_throughput_cost_eur,total_cost_eur,sample_id,n_steps,flex_baseline_energy_mwh,flex_realized_energy_mwh,flex_curtail_energy_mwh,flex_avg_curtailment_mw,flex_peak_curtailment_mw,flex_energy_curtailed_pct,recourse_bess_cmd_energy_mwh,recourse_bess_real_energy_mwh,recourse_bess_cmd_avg_mw,recourse_bess_real_avg_mw,recourse_bess_cmd_peak_mw,recourse_bess_real_peak_mw,recourse_pv_curt_cmd_energy_mwh,recourse_pv_curt_real_energy_mwh,recourse_pv_curt_cmd_peak_mw,recourse_pv_curt_real_peak_mw,recourse_steps_k_policy,recourse_steps_lambda_policy,recourse_steps_rt_opt,recourse_steps_total,recourse_rt_opt_fraction,recourse_k_policy_fraction,shadow_bess_lambda_cmd_energy_mwh,shadow_bess_lambda_cmd_avg_abs_mw,shadow_bess_lambda_cmd_peak_abs_mw,shadow_bess_cmd_lambda_mae_mw,shadow_bess_cmd_lambda_rmse_mw,shadow_bess_cmd_lambda_corr,shadow_pv_curt_lambda_cmd_energy_mwh,shadow_pv_curt_lambda_cmd_peak_mw,shadow_pv_curt_cmd_lambda_mae_mw,shadow_pv_curt_cmd_lambda_rmse_mw,shadow_pv_curt_cmd_lambda_corr,shadow_bess_diff_resid_corr,shadow_bess_throughput_cost_eur,shadow_pv_curtail_cost_eur,shadow_total_proxy_cost_eur,realized_bess_throughput_cost_eur,realized_pv_curtail_cost_eur,realized_total_proxy_cost_eur,bess_throughput_cost_reduction_pct,pv_curtail_cost_reduction_pct,total_proxy_cost_reduction_pct
7.343033964602199,825.3374934330482,0.394038407177108,0.3712522532015783,0.2216816667985535,-4.924578508684824,1.0,1.0173060764280115,69.59479045594725,79.93070810209305,79.93070810209305,0,0,80.0,0,0.0,0.0228702294272169,0.022870229427337,0.2787582980561762,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0500501535437307,0.0499498464562692,,,823.1870089359892,0.0,40.94866513115063,1.1435114713608463,1.1435114713668522,865.2791855385067,s0001,96,0.0,0.0,0.0,0.0,0.0,,0.0228702294272169,0.0228702294272169,0.000952926226134,0.000952926226134,0.0096420152302782,0.0096420152302782,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.248290003548597,815.4776289285644,0.3933578377809559,0.4032320189688781,0.2498072732812853,-4.779471613416457,1.0,1.016952885873717,73.70364449765717,79.6788489476596,79.6788489476596,0,0,80.0,0,0.0,0.0373809903578431,0.0373809903578287,0.2688679087982244,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0493775936292644,0.0506224063707355,,,823.1870089359892,0.0,38.751827076721206,1.8690495178921591,1.8690495178914384,863.8078855306018,s0002,96,0.0,0.0,0.0,0.0,0.0,,0.0373809903578431,0.0373809903578431,0.0015575412649101,0.0015575412649101,0.018556027820313,0.018556027820313,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.325345869191812,822.9034477092802,0.3955756141091076,0.3528564695586544,0.2737353969910389,-4.8266916909954185,1.0,1.017270612070562,73.40205954328543,80.2134561086238,80.2134561086238,0,1,80.0,0,0.0,0.0367035010827844,0.0367035010827546,0.3067107057005035,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0498274775629246,0.0501725224370754,,,823.1870089359892,0.0,43.90741551767631,1.8351750541392229,1.8351750541377332,868.9295995078032,s0003,96,0.0,0.0,0.0,0.0,0.0,,0.0367035010827844,0.0367035010827844,0.001529312545116,0.001529312545116,0.0294634319206738,0.0294634319206738,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.36533856984344,828.2533135048591,0.3944527003141881,0.3444007293820355,0.2304446115001538,-4.845216430741631,1.0,1.017379126392354,72.02863217124961,80.03038677476088,80.03038677476088,0,1,80.0,0,0.0,0.0311058037129526,0.0311058037130968,0.242316492643049,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0504478288892698,0.0495521711107301,,,823.1870089359892,0.0,34.28881732793807,1.5552901856476304,1.5552901856548418,859.0311164495821,s0004,96,0.0,0.0,0.0,0.0,0.0,,0.0311058037129526,0.0311058037129526,0.0012960751547063,0.0012960751547063,0.0129944898185389,0.0129944898185389,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.354033277687993,826.2240716346164,0.3916909478218962,0.3541731880620054,0.229966736367032,-4.786286687200612,1.0,1.0168921622043725,70.62248559466585,79.36792230547209,79.36792230547209,0,0,80.0,0,0.0,0.0342988651970555,0.0342988651968712,0.2840671199892401,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0494087881821769,0.050591211817823,,,823.1870089359892,0.0,40.99499774810571,1.7149432598527763,1.714943259843564,865.8969499439385,s0005,96,0.0,0.0,0.0,0.0,0.0,,0.0342988651970555,0.0342988651970555,0.0014291193832106,0.0014291193832106,0.0168495229357088,0.0168495229357088,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.37197421062071,827.9454752878895,0.3940637309061253,0.3417613293254491,0.2687712377352282,-4.86228348044469,1.0,1.01731054161784,71.08671310899699,79.9367979412787,79.9367979412787,0,0,80.0,0,0.0,0.0387018431430471,0.038701843143046,0.301915025775227,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0494615382096826,0.0505384617903173,,,823.1870089359892,0.0,42.992680879111816,1.9350921571523547,1.935092157152303,868.1147819722534,s0006,96,0.0,0.0,0.0,0.0,0.0,,0.038701843143047,0.038701843143047,0.0016125767976269,0.0016125767976269,0.0136487322306353,0.0136487322306353,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.356018612527187,826.8013574574796,0.3925882746752538,0.3747966917030537,0.2675647824100527,-4.75946654087937,1.0,1.0167909951224856,71.58446535063027,79.51189332211874,79.51189332211874,0,0,80.0,0,0.0,0.0420780147930141,0.0420780147931001,0.2824299454712632,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0492073335440402,0.0507926664559597,,,823.1870089359892,0.0,41.11672104589479,2.103900739650705,2.1039007396550056,866.407630721539,s0007,96,0.0,0.0,0.0,0.0,0.0,,0.042078014793014,0.042078014793014,0.0017532506163755,0.0017532506163755,0.0279353603308118,0.0279353603308118,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.299684153756961,821.1771714214792,0.3939862111416797,0.4106469716595117,0.2346871385920467,-4.8456129947167925,1.0,1.017296872996466,69.87557069154549,79.91815727071095,79.91815727071095,0,0,80.0,0,0.0,0.0307086140802166,0.0307086140802336,0.2768204872194909,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0498767349293913,0.0501232650706086,,,823.1870089359892,0.0,39.75026439417939,1.535430704010832,1.5354307040116828,864.4727040341802,s0008,96,0.0,0.0,0.0,0.0,0.0,,0.0307086140802166,0.0307086140802166,0.0012795255866756,0.0012795255866756,0.0166901054145352,0.0166901054145352,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.274370161737224,817.649961045379,0.3928317936337548,0.3768167044453944,0.2471954267066549,-4.883056871807454,1.0,1.0168345143672528,69.09482489576841,79.57011044393441,79.57011044393441,0,0,80.0,0,0.0,0.0357278991329064,0.0357278991331119,0.2712344476780968,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0492767996714789,0.050723200328521,,,823.1870089359892,0.0,38.70559457497939,1.78639495664532,1.7863949566555957,863.6789984676242,s0009,96,0.0,0.0,0.0,0.0,0.0,,0.0357278991329064,0.0357278991329064,0.0014886624638711,0.0014886624638711,0.0299917437887754,0.0299917437887754,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.338073108534114,824.7765588658751,0.395340605889585,0.3347144403789459,0.2721376941959195,-4.762380374544936,1.0,1.0172910476606605,71.70931996272807,80.17212619767022,80.17212619767022,0,2,80.0,0,0.0,0.0425156666376222,0.0425156666378464,0.3016782322143868,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0501514179643496,0.0498485820356503,,,823.1870089359892,0.0,43.575634484241846,2.125783331881109,2.125783331892324,868.8884267521233,s0010,96,0.0,0.0,0.0,0.0,0.0,,0.0425156666376222,0.0425156666376222,0.0017714861099009,0.0017714861099009,0.0254047952030399,0.0254047952030399,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
