case,t,n_samples,n_violations,violation_probability
0.10 (RT ON),43,200,0,0.0
0.10 (RT ON),44,200,0,0.0
0.10 (RT ON),45,200,0,0.0
0.10 (RT ON),46,200,0,0.0
0.10 (RT ON),47,200,0,0.0
0.10 (RT ON),48,200,0,0.0
0.10 (RT ON),49,200,0,0.0
0.10 (RT ON),50,200,0,0.0
0.10 (RT ON),51,200,0,0.0
0.10 (RT ON),52,200,0,0.0
0.10 (RT ON),53,200,1,0.005
0.10 (RT ON),54,200,0,0.0
0.10 (RT ON),55,200,0,0.0
0.10 (RT ON),56,200,1,0.005
0.10 (RT ON),57,200,2,0.01
0.10 (RT ON),58,200,0,0.0
0.10 (RT ON),59,200,0,0.0
0.10 (RT ON),60,200,0,0.0
0.10 (RT ON),61,200,0,0.0
0.10 (RT ON),62,200,3,0.015
0.10 (RT ON),63,200,3,0.015
0.10 (RT ON),64,200,0,0.0
0.10 (RT ON),65,200,0,0.0
0.10 (RT ON),66,200,0,0.0
0.10 (RT ON),67,200,0,0.0
0.10 (RT ON),68,200,0,0.0
0.10 (RT ON),69,200,0,0.0
0.10 (RT ON),70,200,0,0.0
0.10 (RT ON),71,200,0,0.0
0.10 (RT ON),72,200,0,0.0
0.10 (RT ON),73,200,2,0.01
0.10 (RT ON),74,200,16,0.08
0.10 (RT ON),75,200,31,0.155
0.10 (RT ON),76,200,45,0.225
0.10 (RT ON),77,200,39,0.195
0.10 (RT ON),78,200,16,0.08
0.10 (RT ON),79,200,28,0.14
0.10 (RT ON),80,200,21,0.105
0.10 (RT ON),81,200,12,0.06
0.10 (RT ON),82,200,0,0.0
0.10 (RT ON),83,200,0,0.0
0.10 (RT ON),84,200,1,0.005
0.10 (RT ON),85,200,3,0.015
0.10 (RT ON),86,200,1,0.005
0.10 (RT ON),87,200,0,0.0
0.10 (RT ON),88,200,0,0.0
0.10 (RT ON),89,200,0,0.0
0.10 (RT ON),90,200,0,0.0
0.10 (RT ON),91,200,1,0.005
0.10 (RT ON),92,200,0,0.0
0.10 (RT ON),93,200,0,0.0
0.10 (RT ON),94,200,1,0.005
0.10 (RT ON),95,200,0,0.0
0.10 (RT OFF),0,200,0,0.0
0.10 (RT OFF),1,200,0,0.0
0.10 (RT OFF),2,200,0,0.0
0.10 (RT OFF),3,200,0,0.0
0.10 (RT OFF),4,200,0,0.0
0.10 (RT OFF),5,200,0,0.0
0.10 (RT OFF),6,200,0,0.0
0.10 (RT OFF),7,200,1,0.005
