label,epsilon,rt_imbalance_cost_mean,total_rt_cost_mean,trafo_steps,trafo_violation_probability_pct
0.05 (RT ON),,57.59036706841132,59.64235763999272,42.0,0.21875000000000003
0.10 (RT ON),,56.88225899171455,59.336823136006984,236.0,1.2291666666666665
0.10 (RT OFF),,116.59626022979376,135.06250847912028,744.0,3.875
0.15 (RT ON),,56.11827771971486,58.4229745158195,687.0,3.578125
