timestamp,K_pv_bess,K_hp_bess,K_pv_pvcurt,K_hp_pvcurt
2023-01-10 00:00:00,-1.0,0.0209463659551422,0.0,0.0
2023-01-10 00:15:00,-1.0,0.0152453845168495,0.0,0.0
2023-01-10 00:30:00,-1.0,0.0093169683798497,0.0,0.0
2023-01-10 00:45:00,-1.0,0.0080706016513376,0.0,0.0
2023-01-10 01:00:00,-1.0,0.0101681462002003,0.0,0.0
2023-01-10 01:15:00,-1.0,0.010133166596002,0.0,0.0
2023-01-10 01:30:00,-1.0,0.0108382839224949,0.0,0.0
2023-01-10 01:45:00,-1.0,0.0157476609492578,0.0,0.0
2023-01-10 02:00:00,-1.0,0.0299958661011052,0.0,0.0
2023-01-10 02:15:00,-1.0,0.0316202331541237,0.0,0.0
2023-01-10 02:30:00,-1.0,0.040463196730138,0.0,0.0
2023-01-10 02:45:00,-1.0,0.1023215654326082,0.0,0.0
2023-01-10 03:00:00,-1.0,0.0708597696516536,0.0,0.0
2023-01-10 03:15:00,-1.0,0.0528779728221789,0.0,0.0
2023-01-10 03:30:00,-1.0,0.0387285473468063,0.0,0.0
2023-01-10 03:45:00,-1.0,0.0380029667920708,0.0,0.0
2023-01-10 04:00:00,-1.0,0.0390529744083248,0.0,0.0
2023-01-10 04:15:00,-1.0,0.0389198303284687,0.0,0.0
2023-01-10 04:30:00,-1.0,0.0381358754905186,0.0,0.0
2023-01-10 04:45:00,-1.0,0.0504049147763733,0.0,0.0
2023-01-10 05:00:00,-1.0,0.1196866570098841,0.0,0.0
2023-01-10 05:15:00,-1.0,0.0837424924933267,0.0,0.0
2023-01-10 05:30:00,-1.0,0.0538160631675155,0.0,0.0
2023-01-10 05:45:00,-1.0,0.2041122288953856,0.0,0.0
2023-01-10 06:00:00,-1.0,0.1961506180039012,0.0,0.0
2023-01-10 06:15:00,-1.0,0.1048317834950431,0.0,0.0
2023-01-10 06:30:00,-1.0,0.1961556289525266,0.0,0.0
2023-01-10 06:45:00,-1.0,0.0260142502953287,0.0,0.0
2023-01-10 07:00:00,-1.0,0.1723034119055064,0.0,0.0
2023-01-10 07:15:00,0.0070386047170124,0.1191841291651097,0.0,0.0
2023-01-10 07:30:00,-1.0,0.0133531364747272,0.0,0.0
2023-01-10 07:45:00,-1.0,0.0293083066255644,0.0,0.0
2023-01-10 08:00:00,-0.001321564984554,0.0205928482464067,0.0,0.0
2023-01-10 08:15:00,-0.0075073423101681,0.0217605024581869,0.0,0.0
2023-01-10 08:30:00,-0.0235482005283151,0.024909106628086,0.0,0.0
2023-01-10 08:45:00,-0.0318686614306358,0.0386551272579513,0.0,0.0
2023-01-10 09:00:00,0.0167860636814657,0.0300403633818139,0.0,0.0
2023-01-10 09:15:00,-0.0144308397817963,0.0272456786189003,0.0,0.0
2023-01-10 09:30:00,-0.0171663008724746,0.0259587041350363,0.0,0.0
2023-01-10 09:45:00,-0.010544596797898,0.012816803158115,0.0,0.0
2023-01-10 10:00:00,-0.0584073961960508,0.0596649277765412,0.0,0.0
2023-01-10 10:15:00,-0.0117945611130656,0.013321618884422,0.0,0.0
2023-01-10 10:30:00,-0.0130929982337035,0.0137523862352692,0.0,0.0
2023-01-10 10:45:00,-0.0562740017929709,0.0557059220743659,0.0,0.0
