t,bus,branch,base_v_min,base_v_max,tight_v_min,tight_v_max,k_epsilon,delta_v,sig_pv_t,sig_hp_t,s_volt_var,s_volt_val,note
0,1,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,2,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,3,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,4,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,5,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,6,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,7,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,8,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,9,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,10,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,11,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,12,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,13,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,14,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,15,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,16,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,17,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,18,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,19,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,20,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,21,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,22,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,23,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,24,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,25,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,26,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,27,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,28,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,29,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,30,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,31,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,32,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,33,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,34,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,35,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,36,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,37,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,38,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,39,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,40,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,41,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,42,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
0,43,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
1,1,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
1,2,base_voltage,0.48999999999999994,2.25,0.48999999999999994,2.25,4.358898943540673,,0.0,0.013490377853494367,,,base band enforced
