label,epsilon,rt_imbalance_cost_mean,total_rt_cost_mean,trafo_steps,trafo_violation_probability_pct
deterministic,,29.646630135063297,30.793698282557465,405.5,4.223958333333333
0.10,0.1,11.672249114404872,16.995238531196353,3.5,3.6458333333333335
0.20,0.2,44.94161134288121,45.73014615895859,378.0,3.9375
0.30,0.3,38.42055670618676,39.27868997512669,380.0,3.958333333333333
