sample_id,n_steps,steps_trafo_over_80pct,violation_rate,bess_clip_power_steps,bess_clip_energy_steps,bess_clip_both_steps,clip_power_rate,clip_energy_rate,clip_both_rate,bess_clip_total_energy_mwh,bess_clip_avg_abs_mw,bess_headroom_charge_avg_mw,bess_headroom_discharge_avg_mw
s0100,96,5,0.052083333333333336,0,0,0,0.0,0.0,0.0,0.0,0.0,,
s0100,96,2,0.020833333333333332,0,0,0,0.0,0.0,0.0,0.0,0.0,,
