t_idx_evening,epsilon,timestamp,pv_avail_sum_mw,sigma_tr0_comp_pvP_mva,sigma_tr0_comp_hpP_mva,sigma_tr0_comp_hpQ_mva,sigma_tr0_calc_mva,K_pv_bess,K_hp_bess,K_pv_pvcurt,K_hp_pvcurt,bess_power_robust_slack_min_mw
35,0.1,2023-01-10 08:45:00,,0.0,0.0024379894450557,0.0018941759215144,0.0030873443209089,-0.8671789823701783,0.8679167444877317,0.5746997068495391,0.0513182316942408,
36,0.1,2023-01-10 09:00:00,,0.0,0.0022662938229429,0.0018925639223097,0.0029526066266839,-0.5419773374947249,0.876913999904111,0.7252882854941053,0.0475446328346863,
37,0.1,2023-01-10 09:15:00,,0.0,0.0023474032184703,0.001889629491533,0.0030134700073762,-0.5446018477990328,0.865185022259491,0.7513823483722807,0.0421968885194653,
38,0.1,2023-01-10 09:30:00,,0.0,0.0022439446923666,0.0018910483682966,0.0029345104725725,-0.5233851278981609,0.8762643105230075,0.7734722564328563,0.0453476648440033,
39,0.1,2023-01-10 09:45:00,,0.0,0.0024470965384022,0.0018933578813139,0.0030940403253664,-0.6326422491457384,0.8592379600648528,0.7385834718146823,0.0434040783654865,
40,0.1,2023-01-10 10:00:00,,0.0,0.0024458801493776,0.0018917940748215,0.0030921213635058,-0.44624418249077,0.8557498659734601,0.8110619267889954,0.0399766008730878,
41,0.1,2023-01-10 10:15:00,,0.0,0.0025148459283585,0.0018917940748215,0.0031469564447115,-0.4451649134035385,0.8510611142271481,0.8148456668920846,0.0404824373753841,
42,0.1,2023-01-10 10:30:00,,0.0,0.0025736737346036,0.0018941759215144,0.0031955748956696,-0.4969333717234535,0.8482032479344802,0.7962330212714069,0.0418117934792043,
43,0.1,2023-01-10 10:45:00,,0.0,0.002548837258516,0.0018967742131358,0.0031771565567369,-0.5544817266271309,0.8479313421251344,0.7749696405571656,0.0394088709132165,
44,0.1,2023-01-10 11:00:00,,0.0,0.0026096008066807,0.0018950180117251,0.0032250751363327,-0.3561264390700034,0.8410137449248524,0.8535700920504289,0.0372377245270056,
45,0.1,2023-01-10 11:15:00,,0.0,0.0025864842047271,0.0018925639223097,0.0032049491012076,-0.3576034958303704,0.8440404272592935,0.8536783883501196,0.0387783877345262,
46,0.1,2023-01-10 11:30:00,,0.0,0.0024361452163069,0.0018925639223097,0.0030848989797015,-0.5975788105813893,0.8556074780391164,0.7625497150435813,0.039026325128171,
47,0.1,2023-01-10 11:45:00,,0.0,0.0016711373172324,0.0018917940748215,0.002524199824613,-0.7694169952241492,0.9308137040100602,0.7114609232195714,0.0566858452108448,
48,0.1,2023-01-10 12:00:00,,0.0,0.0023648443886408,0.0018917940748215,0.0030284276124774,-0.5768778448273774,0.8644759969670546,0.7667635930985096,0.0425990175802511,
49,0.1,2023-01-10 12:15:00,,0.0,0.002528350336555,0.0018910483682966,0.0031573120459649,-0.3502075144440992,0.8489390699748924,0.8539221774131927,0.0394526585038788,
50,0.1,2023-01-10 12:30:00,,0.0,0.0024092090452181,0.0018925639223097,0.0030636720489617,-0.3464103089566975,0.8570714617556048,0.8535682612676322,0.0384622682282729,
51,0.1,2023-01-10 12:45:00,,0.0,0.002473761555864,0.0018941759215144,0.0031156698568551,-0.3873609322685539,0.8537932796248839,0.8387076808514011,0.0398857786140944,
52,0.1,2023-01-10 13:00:00,,0.0,0.0025054083505311,0.0018925639223097,0.0031398836288849,-0.4016921940960657,0.8501765007302192,0.8312711926043709,0.0388102110959584,
53,0.1,2023-01-10 13:15:00,,0.0,0.0025276985159884,0.0018910483682966,0.0031567900973881,-0.4133258346268033,0.8481407035792524,0.8222960252364364,0.0386051768122211,
54,0.1,2023-01-10 13:30:00,,0.0,0.0025300311076875,0.0018903268313048,0.0031582262323997,-0.4537710988130128,0.8482610366710754,0.8029483795601619,0.0389740401956825,
55,0.1,2023-01-10 13:45:00,,0.0,0.0024943755722479,0.0018903268313048,0.0031297356157635,-0.5379920147585504,0.8522875570328566,0.7648251476340223,0.0403128567441424,
56,0.1,2023-01-10 14:00:00,,0.0,0.002473914941023,0.0018903268313048,0.0031134531736591,-0.692023324938754,0.8561367356317557,0.6982475697155802,0.0426197189568691,
57,0.1,2023-01-10 14:15:00,,0.0,0.0024025349013132,0.0018925639223097,0.0030584264176299,-0.7262474478414306,0.8659562400338887,0.667385908039477,0.0468445461744109,
58,0.1,2023-01-10 14:30:00,,0.0,0.0070763546123059,0.0018950180117251,0.0073257005032874,0.0604935457611085,0.7844072927715242,0.0,0.3165003468309533,
59,0.1,2023-01-10 14:45:00,,0.0,0.0010097020538795,0.0018967742131358,0.0021487788749021,-1.0,0.9322899105514127,0.0,0.0081422441765356,
60,0.1,2023-01-10 15:00:00,,0.0,0.0009686138180527,0.0018950180117251,0.0021282166227349,-1.0,0.9336937819421488,0.0,0.006526859549026,
61,0.1,2023-01-10 15:15:00,,0.0,0.0006104944952948,0.0018925639223097,0.0019885929017307,-1.0,0.954035500128783,0.0,0.0,
62,0.1,2023-01-10 15:30:00,,0.0,0.0005984744660386,0.0018950180117251,0.0019872757612528,-1.0,0.954998848438528,0.0,0.0,
63,0.1,2023-01-10 15:45:00,,0.0,0.0030131782413461,0.0018986262189532,0.003561463832951,0.0428574516925338,0.7738603621539913,0.0,0.0,
64,0.1,2023-01-10 16:00:00,,0.0,0.0005793712407291,0.0018958841198994,0.001982434773371,-1.0,0.9564551811415912,0.0,0.0,
65,0.1,2023-01-10 16:15:00,,0.0,0.0007455613934925,0.0018950180117251,0.0020364073895538,-1.0,0.9439389261015276,0.0,0.0,
66,0.1,2023-01-10 16:30:00,,0.0,0.000734068838219,0.0018986262189532,0.0020355929304605,-1.0,0.944907984880865,0.0,0.0,
67,0.1,2023-01-10 16:45:00,,0.0,0.0007352120827424,0.0019015832446578,0.0020387632631019,-1.0,0.9449079875013536,0.0,0.0,
68,0.1,2023-01-10 17:00:00,,0.0,0.0007313993745869,0.0019015832446578,0.0020373914404231,-1.0,0.9451936870570152,0.0,0.0,
69,0.1,2023-01-10 17:15:00,,0.0,0.0005190370543945,0.0019093130518784,0.0019786045066934,-1.0,0.9612641967885937,0.0,0.0,
70,0.1,2023-01-10 17:30:00,,0.0,0.0007022754763157,0.0019223475131934,0.002046609588103,-1.0,0.947944461153083,0.0,0.0,
71,0.1,2023-01-10 17:45:00,,0.0,0.0006333850268058,0.0019328433852078,0.0020339764364228,-1.0,0.9533058503656155,0.0,0.0,
72,0.1,2023-01-10 18:00:00,,0.0,0.0007515873955878,0.0019237783161675,0.0020653829240513,-1.0,0.9443306940888836,0.0,0.0,
