timestamp,sample_id,soc_frac
2023-01-10 00:00:00,s0001,0.49953301832514324
2023-01-10 00:15:00,s0001,0.49917732083843913
2023-01-10 00:30:00,s0001,0.4989063107507523
2023-01-10 00:45:00,s0001,0.4990167409994978
2023-01-10 01:00:00,s0001,0.4990848522009615
2023-01-10 01:15:00,s0001,0.4987390874731655
2023-01-10 01:30:00,s0001,0.49887607215967855
2023-01-10 01:45:00,s0001,0.49900936897354714
2023-01-10 02:00:00,s0001,0.49994128168893737
2023-01-10 02:15:00,s0001,0.49964137426501243
2023-01-10 02:30:00,s0001,0.49922184037927936
2023-01-10 02:45:00,s0001,0.5013277745062423
2023-01-10 03:00:00,s0001,0.5014930469978768
2023-01-10 03:15:00,s0001,0.50198946407247
2023-01-10 03:30:00,s0001,0.5013915323462186
2023-01-10 03:45:00,s0001,0.501758589083349
2023-01-10 04:00:00,s0001,0.5024023987692383
2023-01-10 04:15:00,s0001,0.5027778561715351
2023-01-10 04:30:00,s0001,0.5019972298071073
2023-01-10 04:45:00,s0001,0.5015599160025992
2023-01-10 05:00:00,s0001,0.4991016470541347
2023-01-10 05:15:00,s0001,0.4969852570774544
2023-01-10 05:30:00,s0001,0.49592785848858456
2023-01-10 05:45:00,s0001,0.49991487713119226
2023-01-10 06:00:00,s0001,0.5015742020668121
2023-01-10 06:15:00,s0001,0.5011730911066377
2023-01-10 06:30:00,s0001,0.5127819110773202
2023-01-10 06:45:00,s0001,0.5123185055360024
2023-01-10 07:00:00,s0001,0.5146043247743995
2023-01-10 07:15:00,s0001,0.5128937214575713
2023-01-10 07:30:00,s0001,0.5126653130511112
2023-01-10 07:45:00,s0001,0.51356713300944
2023-01-10 08:00:00,s0001,0.5133685328984009
2023-01-10 08:15:00,s0001,0.5137598691269811
2023-01-10 08:30:00,s0001,0.5135905028589988
2023-01-10 08:45:00,s0001,0.5130895647507868
2023-01-10 09:00:00,s0001,0.5125895738003687
2023-01-10 09:15:00,s0001,0.5126306538002963
2023-01-10 09:30:00,s0001,0.5135139206930878
2023-01-10 09:45:00,s0001,0.5138580040980262
2023-01-10 10:00:00,s0001,0.5127449810932455
2023-01-10 10:15:00,s0001,0.5115999037883019
2023-01-10 10:30:00,s0001,0.5122316153668908
2023-01-10 10:45:00,s0001,0.5156128958024135
2023-01-10 11:00:00,s0001,0.5126053045115043
2023-01-10 11:15:00,s0001,0.5110599958772937
2023-01-10 11:30:00,s0001,0.5084011090139857
2023-01-10 11:45:00,s0001,0.5029012326930352
2023-01-10 12:00:00,s0001,0.5081699429995092
2023-01-10 12:15:00,s0001,0.5089186877919017
2023-01-10 12:30:00,s0001,0.5081214614427376
2023-01-10 12:45:00,s0001,0.5086771400084299
2023-01-10 13:00:00,s0001,0.508722488395381
2023-01-10 13:15:00,s0001,0.5088045306347054
2023-01-10 13:30:00,s0001,0.5088623346371133
2023-01-10 13:45:00,s0001,0.5083297203297387
2023-01-10 14:00:00,s0001,0.5091758401513203
2023-01-10 14:15:00,s0001,0.5083056161852585
2023-01-10 14:30:00,s0001,0.5076520675208434
2023-01-10 14:45:00,s0001,0.5054713285781165
2023-01-10 15:00:00,s0001,0.5057211498594447
2023-01-10 15:15:00,s0001,0.5068002852978363
2023-01-10 15:30:00,s0001,0.5099735014904093
2023-01-10 15:45:00,s0001,0.514383119118991
2023-01-10 16:00:00,s0001,0.5148775262099596
2023-01-10 16:15:00,s0001,0.5154404426338345
2023-01-10 16:30:00,s0001,0.508593473178022
2023-01-10 16:45:00,s0001,0.5085522667426848
2023-01-10 17:00:00,s0001,0.5087989411135093
2023-01-10 17:15:00,s0001,0.509331450782497
2023-01-10 17:30:00,s0001,0.5112064470848782
2023-01-10 17:45:00,s0001,0.5105000354286348
2023-01-10 18:00:00,s0001,0.510500035430394
2023-01-10 18:15:00,s0001,0.5080804448925509
2023-01-10 18:30:00,s0001,0.5097312249032394
2023-01-10 18:45:00,s0001,0.5144686899021098
2023-01-10 19:00:00,s0001,0.5047779774788225
2023-01-10 19:15:00,s0001,0.5038695490530225
2023-01-10 19:30:00,s0001,0.4962124627502671
2023-01-10 19:45:00,s0001,0.500245647450209
2023-01-10 20:00:00,s0001,0.4945927353180672
2023-01-10 20:15:00,s0001,0.49346224964949986
2023-01-10 20:30:00,s0001,0.49346224965132957
2023-01-10 20:45:00,s0001,0.49823572601069793
2023-01-10 21:00:00,s0001,0.4974988012392408
2023-01-10 21:15:00,s0001,0.4967262422538528
2023-01-10 21:30:00,s0001,0.49720039500128105
2023-01-10 21:45:00,s0001,0.49722505667941747
2023-01-10 22:00:00,s0001,0.49610309908926037
2023-01-10 22:15:00,s0001,0.49541125424034255
2023-01-10 22:30:00,s0001,0.495218953619643
2023-01-10 22:45:00,s0001,0.49246565834467765
2023-01-10 23:00:00,s0001,0.49291590416174413
2023-01-10 23:15:00,s0001,0.4856390574697504
2023-01-10 23:30:00,s0001,0.4882420841386768
2023-01-10 23:45:00,s0001,0.4913267543977917
2023-01-10 00:00:00,s0002,0.500319472030315
2023-01-10 00:15:00,s0002,0.5005986192187695
2023-01-10 00:30:00,s0002,0.501069493247074
2023-01-10 00:45:00,s0002,0.5014753316267561
2023-01-10 01:00:00,s0002,0.5013073967116699
2023-01-10 01:15:00,s0002,0.5013612989362285
2023-01-10 01:30:00,s0002,0.500965764014729
2023-01-10 01:45:00,s0002,0.5006780452428924
2023-01-10 02:00:00,s0002,0.5010620210240918
2023-01-10 02:15:00,s0002,0.5018037715344009
2023-01-10 02:30:00,s0002,0.4997920994788382
2023-01-10 02:45:00,s0002,0.49767483976448285
2023-01-10 03:00:00,s0002,0.4993821622882861
2023-01-10 03:15:00,s0002,0.49798771218754373
2023-01-10 03:30:00,s0002,0.4985600908993627
2023-01-10 03:45:00,s0002,0.49862150028237984
2023-01-10 04:00:00,s0002,0.4980790865001327
2023-01-10 04:15:00,s0002,0.49907583352291784
2023-01-10 04:30:00,s0002,0.4993804329824069
2023-01-10 04:45:00,s0002,0.49889716360289676
2023-01-10 05:00:00,s0002,0.4996857367543927
2023-01-10 05:15:00,s0002,0.5030486328862164
2023-01-10 05:30:00,s0002,0.5023966610496153
2023-01-10 05:45:00,s0002,0.5199665537433855
2023-01-10 06:00:00,s0002,0.5294968582355956
2023-01-10 06:15:00,s0002,0.5336746630232205
2023-01-10 06:30:00,s0002,0.5363191491477298
2023-01-10 06:45:00,s0002,0.5368617023737051
2023-01-10 07:00:00,s0002,0.5349018327748658
2023-01-10 07:15:00,s0002,0.5315364062122553
2023-01-10 07:30:00,s0002,0.531334109216277
2023-01-10 07:45:00,s0002,0.5319921690452137
2023-01-10 08:00:00,s0002,0.5319915523214421
2023-01-10 08:15:00,s0002,0.5319025387779204
2023-01-10 08:30:00,s0002,0.5315104763562994
2023-01-10 08:45:00,s0002,0.531902292230722
2023-01-10 09:00:00,s0002,0.5312286915852532
2023-01-10 09:15:00,s0002,0.5308167394901189
2023-01-10 09:30:00,s0002,0.5311237957871722
2023-01-10 09:45:00,s0002,0.5318325385209985
2023-01-10 10:00:00,s0002,0.5342998319929811
2023-01-10 10:15:00,s0002,0.5351329264434428
2023-01-10 10:30:00,s0002,0.5341521930099745
2023-01-10 10:45:00,s0002,0.5323042672333498
2023-01-10 11:00:00,s0002,0.5266419622041134
2023-01-10 11:15:00,s0002,0.5260426886366708
2023-01-10 11:30:00,s0002,0.5258194558640318
2023-01-10 11:45:00,s0002,0.5254666944198121
2023-01-10 12:00:00,s0002,0.5245602539133714
2023-01-10 12:15:00,s0002,0.5246566998594209
2023-01-10 12:30:00,s0002,0.524750881678652
2023-01-10 12:45:00,s0002,0.5250833721774871
2023-01-10 13:00:00,s0002,0.5244577942787902
2023-01-10 13:15:00,s0002,0.5246959776731787
2023-01-10 13:30:00,s0002,0.5249507988860214
2023-01-10 13:45:00,s0002,0.5251355030257985
2023-01-10 14:00:00,s0002,0.5242995324038984
2023-01-10 14:15:00,s0002,0.5235534752739084
2023-01-10 14:30:00,s0002,0.5229769771650087
2023-01-10 14:45:00,s0002,0.5235995548191998
2023-01-10 15:00:00,s0002,0.5236365142983005
2023-01-10 15:15:00,s0002,0.5235984157920947
2023-01-10 15:30:00,s0002,0.4966008027532953
2023-01-10 15:45:00,s0002,0.5010283247314771
2023-01-10 16:00:00,s0002,0.5016704503535597
2023-01-10 16:15:00,s0002,0.501364635677352
2023-01-10 16:30:00,s0002,0.5007678080274721
2023-01-10 16:45:00,s0002,0.49978163846426277
2023-01-10 17:00:00,s0002,0.49801165920970264
2023-01-10 17:15:00,s0002,0.49589783768527945
2023-01-10 17:30:00,s0002,0.4977648494232692
2023-01-10 17:45:00,s0002,0.4995039580774368
2023-01-10 18:00:00,s0002,0.49950395807919606
2023-01-10 18:15:00,s0002,0.5000636930830633
2023-01-10 18:30:00,s0002,0.5014440415022068
2023-01-10 18:45:00,s0002,0.5009530682215193
2023-01-10 19:00:00,s0002,0.5177844634027529
2023-01-10 19:15:00,s0002,0.5247478165786533
2023-01-10 19:30:00,s0002,0.5515163327668658
2023-01-10 19:45:00,s0002,0.5744088110489806
2023-01-10 20:00:00,s0002,0.5596536133501729
2023-01-10 20:15:00,s0002,0.5752866187807281
2023-01-10 20:30:00,s0002,0.5752866187825603
2023-01-10 20:45:00,s0002,0.580263106853799
2023-01-10 21:00:00,s0002,0.5798605510006604
2023-01-10 21:15:00,s0002,0.5840244488666827
2023-01-10 21:30:00,s0002,0.5828043814176905
2023-01-10 21:45:00,s0002,0.582967175963596
2023-01-10 22:00:00,s0002,0.5833548587210806
2023-01-10 22:15:00,s0002,0.5834274656002217
2023-01-10 22:30:00,s0002,0.583209423007658
2023-01-10 22:45:00,s0002,0.5783927090287087
2023-01-10 23:00:00,s0002,0.5796564519009786
2023-01-10 23:15:00,s0002,0.5811385968599214
2023-01-10 23:30:00,s0002,0.5803959263735325
2023-01-10 23:45:00,s0002,0.5809310330039976
2023-01-10 00:00:00,s0003,0.49949134197210693
2023-01-10 00:15:00,s0003,0.49948560257606334
2023-01-10 00:30:00,s0003,0.49948358909532675
2023-01-10 00:45:00,s0003,0.4994202411133561
2023-01-10 01:00:00,s0003,0.5000296295461111
2023-01-10 01:15:00,s0003,0.5001350440967018
2023-01-10 01:30:00,s0003,0.49978445180039244
2023-01-10 01:45:00,s0003,0.4999395539656034
2023-01-10 02:00:00,s0003,0.5000740049168647
2023-01-10 02:15:00,s0003,0.4994620035043427
2023-01-10 02:30:00,s0003,0.5007520565675774
2023-01-10 02:45:00,s0003,0.5038998294504445
2023-01-10 03:00:00,s0003,0.49834941429863716
2023-01-10 03:15:00,s0003,0.4979621464862083
2023-01-10 03:30:00,s0003,0.49822332173263834
2023-01-10 03:45:00,s0003,0.49739461111853794
2023-01-10 04:00:00,s0003,0.4968519108816252
2023-01-10 04:15:00,s0003,0.49785101414813177
2023-01-10 04:30:00,s0003,0.497824949521134
