import_mwh,energy_cost_eur,peak_import_mw,pv_energy_mwh,hp_resid_energy_mwh_abs,avg_temp_c,v_min_pu,v_max_pu,max_line_loading_pct,max_trafo_loading_pct,max_trafo_loading_pct_optionA,steps_line_over_80pct,steps_trafo_over_80pct,loading_violation_threshold_pct,steps_voltage_violation,pv_curtail_mwh,bess_rt_energy_throughput_mwh,imbalance_mwh,bess_soc_clip_steps,rt_opt_slack_pct_hours,rt_opt_used_steps,rt_opt_action_steps,rt_opt_slack_steps,bess_clip_power_steps,bess_clip_energy_steps,bess_clip_both_steps,bess_clip_total_energy_mwh,bess_clip_max_abs_mw,bess_clip_avg_abs_mw,bess_headroom_charge_avg_mw,bess_headroom_discharge_avg_mw,residual_policy_std,residual_policy_frac_negative,da_energy_cost_eur,rt_pv_curtail_cost_eur,rt_imbalance_cost_eur,rt_bess_cycle_cost_eur,total_cost_eur,sample_id,n_steps,flex_baseline_energy_mwh,flex_realized_energy_mwh,flex_curtail_energy_mwh,flex_avg_curtailment_mw,flex_peak_curtailment_mw,flex_energy_curtailed_pct,flex_ycap_energy_mwh,recourse_bess_cmd_energy_mwh,recourse_bess_real_energy_mwh,recourse_bess_cmd_avg_mw,recourse_bess_real_avg_mw,recourse_bess_cmd_peak_mw,recourse_bess_real_peak_mw,recourse_pv_curt_cmd_energy_mwh,recourse_pv_curt_real_energy_mwh,recourse_pv_curt_cmd_peak_mw,recourse_pv_curt_real_peak_mw,recourse_steps_k_policy,recourse_steps_lambda_policy,recourse_steps_rt_opt,recourse_steps_total,recourse_rt_opt_fraction,recourse_k_policy_fraction,shadow_bess_lambda_cmd_energy_mwh,shadow_bess_lambda_cmd_avg_abs_mw,shadow_bess_lambda_cmd_peak_abs_mw,shadow_bess_cmd_lambda_mae_mw,shadow_bess_cmd_lambda_rmse_mw,shadow_bess_cmd_lambda_corr,shadow_pv_curt_lambda_cmd_energy_mwh,shadow_pv_curt_lambda_cmd_peak_mw,shadow_pv_curt_cmd_lambda_mae_mw,shadow_pv_curt_cmd_lambda_rmse_mw,shadow_pv_curt_cmd_lambda_corr,shadow_bess_diff_resid_corr,shadow_bess_throughput_cost_eur,shadow_pv_curtail_cost_eur,shadow_total_proxy_cost_eur,realized_bess_throughput_cost_eur,realized_pv_curtail_cost_eur,realized_total_proxy_cost_eur,bess_throughput_cost_reduction_pct,pv_curtail_cost_reduction_pct,total_proxy_cost_reduction_pct
7.311320418472883,820.2627817055759,0.3828279624524626,0.37125225320157834,0.22168166679855356,-4.924578508684824,1.0,1.0162152700663518,69.59479045594725,77.37350329133685,77.37350329133685,0,0,80.0,0,0.0,0.2643947948650976,0.5553631038726246,1,0.0,0,0,0,3,5,0,0.02657351414242947,0.02947278666931366,0.0011072297559345612,0.03933037766444373,0.051149262833280806,,,817.0030396184164,0.0,81.94719556230709,13.219739743254875,912.1699749239784,s0001,96,0.18662381999999994,0.12087153863477652,0.06575228136522256,0.0027396783902176067,0.0549999999993505,35.232523568118246,0.06575228136522285,0.290968309007527,0.26439479486509754,0.012123679541980292,0.011016449786045731,0.07947278666931366,0.05,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.125854746022895,800.7148967013676,0.43270449897570173,0.40323201896887817,0.24980727328128532,-4.779471613416457,1.0,1.0173827298615463,73.70364449765717,87.35571832861197,87.35571832861197,0,1,80.0,0,0.0,0.27421846162720853,0.5729049279982453,3,0.0,0,0,0,1,7,0,0.02446800474382839,0.02654186526866535,0.0010195001976595161,0.05358709429882611,0.03997818659641163,,,817.0030396184164,0.0,83.18756161227148,13.710923081360418,913.9015243120483,s0002,96,0.18662381999999994,0.12087153863477652,0.06575228136522256,0.0027396783902176067,0.0549999999993505,35.232523568118246,0.06575228136522285,0.29868646637103685,0.2742184616272084,0.012445269432126536,0.011425769234467018,0.07654186526866535,0.05,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.259020354727025,813.6102309517086,0.42391411136127943,0.35285646955865446,0.2737353969910389,-4.8266916909954185,1.0,1.017394066624706,73.40205954328543,85.66776984012762,85.66776984012762,0,3,80.0,0,0.0,0.3177284812341266,0.6535295091224179,1,0.0,0,0,0,0,7,0,0.01807254665416473,0.022274792302396998,0.0007530227772568638,0.04473229088665633,0.049882574682569895,,,817.0030396184164,0.0,94.3522307462876,15.886424061706327,927.2416944264103,s0003,96,0.18662381999999994,0.12087153863477652,0.06575228136522256,0.0027396783902176067,0.0549999999993505,35.232523568118246,0.06575228136522285,0.33580102788829136,0.3177284812341266,0.013991709495345473,0.013238686718088609,0.04375045285749878,0.04375045285749878,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.357907796749117,826.8054131842512,0.4036686546680198,0.3444007293820355,0.23044461150015388,-4.8452164307416306,1.0,1.0167046528517127,72.02863217124961,81.4930424437681,81.4930424437681,0,1,80.0,0,0.0,0.23474602703911698,0.4984394236781328,0,0.0,0,0,0,1,8,0,0.02894736959989883,0.03437096371960276,0.0012061403999957846,0.03756342682299459,0.05216928853606632,,,817.0030396184164,0.0,71.08124651491934,11.737301351955852,899.8215874852916,s0004,96,0.18662381999999994,0.12087153863477652,0.06575228136522256,0.0027396783902176067,0.0549999999993505,35.232523568118246,0.06575228136522285,0.2636933966390159,0.23474602703911704,0.010987224859958997,0.00978108445996321,0.05629525574115174,0.05,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.282977201128402,815.6730397992226,0.3816166707699078,0.3541731880620054,0.229966736367032,-4.786286687200612,1.0,1.0157701043612728,70.62248559466585,77.06378889492643,77.06378889492643,0,0,80.0,0,0.0,0.2631599312517964,0.5692571641592674,0,0.0,0,0,0,2,11,0,0.04293730165567473,0.03597167633761745,0.0017890542356531136,0.03780984371135697,0.050899691378463376,,,817.0030396184164,0.0,82.88556572782211,13.157996562589823,913.0466019088284,s0005,96,0.18662381999999994,0.12087153863477652,0.06575228136522256,0.0027396783902176067,0.0549999999993505,35.232523568118246,0.06575228136522285,0.3060972329074711,0.2631599312517964,0.01275405137114463,0.010964997135491516,0.07308774937282914,0.05,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.296310027083173,817.1249518241998,0.38192529547220777,0.3417613293254491,0.2687712377352282,-4.86228348044469,1.0,1.0162301792098174,71.08671310899699,77.32440083782951,77.32440083782951,0,0,80.0,0,0.0,0.27369916186607357,0.6038727919323446,2,0.0,0,0,0,2,14,1,0.0564744682001976,0.059083620457370256,0.0023531028416749,0.031302262589953646,0.05145948288886532,,,817.0030396184164,0.0,87.12987967661468,13.684958093303672,917.8178773883348,s0006,96,0.18662381999999994,0.12087153863477652,0.06575228136522256,0.0027396783902176067,0.0549999999993505,35.232523568118246,0.06575228136522285,0.3301736300662711,0.2736991618660735,0.01375723458609463,0.01140413174441973,0.07961316438801772,0.05,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.288356003612677,817.1597299081732,0.4101195485801958,0.3747966917030537,0.26756478241005277,-4.75946654087937,1.0,1.0166515014117325,71.58446535063027,82.83753962951735,82.83753962951735,0,2,80.0,0,0.0,0.2957057442932599,0.611726960119332,1,0.0,0,0,0,1,4,1,0.02031547153281197,0.041416422190927435,0.0008464779805338321,0.039463484921479046,0.05035757311734788,,,817.0030396184164,0.0,90.2373436156819,14.785287214663,922.0256704487613,s0007,96,0.18662381999999994,0.12087153863477652,0.06575228136522256,0.0027396783902176067,0.0549999999993505,35.232523568118246,0.06575228136522285,0.31602121582607196,0.29570574429325996,0.013167550659419665,0.012321072678885832,0.05748176985303305,0.048212477490757695,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.228544347029166,812.2711128569604,0.3805156706406334,0.4106469716595117,0.2346871385920467,-4.8456129947167925,1.0,1.0161845400668323,69.87557069154549,77.04278310698454,77.04278310698454,0,0,80.0,0,0.0,0.2876531636060196,0.584708552267361,1,0.0,0,0,0,1,4,0,0.009402225055321786,0.010237648835349009,0.0003917593773050744,0.04538037226079819,0.04589414748419084,,,817.0030396184164,0.0,84.73783967761659,14.382658180300979,916.1235374763339,s0008,96,0.18662381999999994,0.12087153863477652,0.06575228136522256,0.0027396783902176067,0.0549999999993505,35.232523568118246,0.06575228136522285,0.2970553886613414,0.2876531636060196,0.012377307860889225,0.01198554848358415,0.059387847129848174,0.05,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.161492884178729,802.6997117395551,0.3821397499717001,0.37681670444539445,0.2471954267066549,-4.883056871807454,1.0,1.0161180870312547,69.09482489576841,77.28701532636936,77.28701532636936,0,0,80.0,0,0.0,0.2828121627288833,0.5784082619538737,2,0.0,0,0,0,1,5,0,0.012783936496107198,0.02247521205333379,0.0005326640206711333,0.0526132008014119,0.040346800323876,,,817.0030396184164,0.0,83.70957316224015,14.140608136444165,914.8532209171008,s0009,96,0.18662381999999994,0.12087153863477652,0.06575228136522256,0.0027396783902176067,0.0549999999993505,35.232523568118246,0.06575228136522285,0.2955960992249904,0.2828121627288832,0.0123165041343746,0.011783840113703467,0.07247521205333379,0.05,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.2847763142702195,818.1393029666907,0.41545064302800205,0.33471444037894593,0.2721376941959195,-4.762380374544936,1.0,1.0176182621251089,71.70931996272807,84.10227339974557,84.10227339974557,0,3,80.0,0,0.0,0.30257289070088633,0.638465986465744,1,0.0,0,0,0,2,6,2,0.033320205063971486,0.05445707334087413,0.0013883418776654787,0.043329355522749115,0.05073681672325741,,,817.0030396184164,0.0,93.66032790089781,15.12864453504432,925.7920120543587,s0010,96,0.18662381999999994,0.12087153863477652,0.06575228136522256,0.0027396783902176067,0.0549999999993505,35.232523568118246,0.06575228136522285,0.3358930957648579,0.30257289070088633,0.013995545656869078,0.012607203779203597,0.07045878522674483,0.04299497688781376,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
