t_idx_evening,epsilon,timestamp,pv_avail_sum_mw,sigma_tr0_comp_pvP_mva,sigma_tr0_comp_hpP_mva,sigma_tr0_comp_hpQ_mva,sigma_tr0_calc_mva,K_pv_bess,K_hp_bess,K_pv_pvcurt,K_hp_pvcurt,bess_power_robust_slack_min_mw
35,0.1,2023-01-10 08:45:00,,0.0,0.012657942308459,0.0018731975081814,0.0127957951057733,-0.0835993442680639,0.0371228421117014,0.0,0.0,
36,0.1,2023-01-10 09:00:00,,0.0,0.0126911387236212,0.0018715674401529,0.0128283968906968,-0.027690517499011,0.0337567928277476,0.0,0.0,
37,0.1,2023-01-10 09:15:00,,0.0,0.0125265417962357,0.0018686000370018,0.0126651456948242,-0.0476997274363818,0.0447738956590384,0.0,0.0,
38,0.1,2023-01-10 09:30:00,,0.0,0.0125715883355732,0.001870034869795,0.0127099120253985,-0.0522080154617583,0.0420743767588374,0.0,0.0,
39,0.1,2023-01-10 09:45:00,,0.0,0.012885648991649,0.0018723703025164,0.0130209723325768,-0.034196670040039,0.0193683720417631,0.0,0.0,
40,0.1,2023-01-10 10:00:00,,0.0,0.012532146901177,0.001870788952432,0.0126710124795623,-0.0597471758913316,0.04546463362818,0.0,0.0,
41,0.1,2023-01-10 10:15:00,,0.0,0.0128716957395046,0.001870788952432,0.0130069367075774,-0.044076519426104,0.0196022353216503,0.0,0.0,
42,0.1,2023-01-10 10:30:00,,0.0,0.0129117591826215,0.0018731975081814,0.0130469304472227,-0.0530551067311425,0.0178152434150051,0.0,0.0,
43,0.1,2023-01-10 10:45:00,,0.0,0.0128260531956438,0.0018758248581968,0.0129624981957998,-0.0672548686486352,0.0257013660397247,0.0,0.0,
44,0.1,2023-01-10 11:00:00,,0.0,0.0127651618151958,0.0018740490249122,0.0129019927110469,-0.0778055416023334,0.0294079712333532,0.0,0.0,
45,0.1,2023-01-10 11:15:00,,0.0,0.0126768052317965,0.0018715674401529,0.0128142169315157,-0.0923777781039933,0.0348480770231449,0.0,0.0,
46,0.1,2023-01-10 11:30:00,,0.0,0.0130408057510084,0.0018715674401529,0.0131744214035598,-0.0556653319391342,0.0071348011103181,0.0,0.0,
47,0.1,2023-01-10 11:45:00,,0.0,0.012729929582077,0.001870788952432,0.0128666607349841,-0.0914776950604409,0.0304001306931614,0.0,0.0,
48,0.1,2023-01-10 12:00:00,,0.0,0.0125786511195728,0.001870788952432,0.0127170088972396,-0.0593217735467198,0.0419225492994331,0.0,0.0,
49,0.1,2023-01-10 12:15:00,,0.0,0.0127676584833548,0.001870034869795,0.0129038805621345,-0.0430932783259073,0.0271342901525,0.0,0.0,
50,0.1,2023-01-10 12:30:00,,0.0,0.0128376062733839,0.0018715674401529,0.0129733149007285,-0.0376407344858577,0.0226054471438558,0.0,0.0,
51,0.1,2023-01-10 12:45:00,,0.0,0.0128693551348455,0.0018731975081814,0.0130049671468801,-0.0395636910523131,0.0210408774091031,0.0,0.0,
52,0.1,2023-01-10 13:00:00,,0.0,0.012885666371373,0.0018715674401529,0.01302087410727,-0.0390535570137973,0.01894637885776,0.0,0.0,
53,0.1,2023-01-10 13:15:00,,0.0,0.0128685534573026,0.001870034869795,0.0130037186411313,-0.0503949263631554,0.0194463291549744,0.0,0.0,
54,0.1,2023-01-10 13:30:00,,0.0,0.0127664441999142,0.0018693052217771,0.0129025733681962,-0.0616885631424305,0.026847112054757,0.0,0.0,
55,0.1,2023-01-10 13:45:00,,0.0,0.0125657034086862,0.0018693052217771,0.0127039837912062,-0.079997605010088,0.0421490612626094,0.0,0.0,
56,0.1,2023-01-10 14:00:00,,0.0,0.0123869136259306,0.0018693052217771,0.0125271677241277,-0.0956475522330918,0.0557777420995879,0.0,0.0,
57,0.1,2023-01-10 14:15:00,,0.0,0.0120700944577359,0.0018715674401529,0.0122143335840196,-0.1096543284159087,0.0810401624554106,0.0,0.0,
58,0.1,2023-01-10 14:30:00,,0.0,0.0126883302617079,0.0018740490249122,0.0128259808427249,-0.1725203686830348,0.0352498159708285,0.0,0.0,
59,0.1,2023-01-10 14:45:00,,0.0,0.0116774448885989,0.0018758248581968,0.0118271483471246,-1.0,0.1129524858845562,0.0,0.0,
60,0.1,2023-01-10 15:00:00,,0.0,0.0124771977369263,0.0018740490249122,0.0126171519414697,-1.0,0.0513031608898458,0.0,0.0,
61,0.1,2023-01-10 15:15:00,,0.0,0.0124930504850642,0.0018715674401529,0.0126324611657983,-1.0,0.0488382933214879,0.0,0.0,
62,0.1,2023-01-10 15:30:00,,0.0,0.0106951048071752,0.0018740490249122,0.0108580535357051,-1.0,0.1868036126019992,0.0,0.0,
63,0.1,2023-01-10 15:45:00,,0.0,0.0106617195066997,0.001877697526842,0.0108258030114098,-0.0344615098129251,0.1909172124491894,0.0,0.0,
64,0.1,2023-01-10 16:00:00,,0.0,0.0124877123517027,0.0018749248195857,0.0126276800267494,-1.0,0.0509472064457105,0.0,0.0,
65,0.1,2023-01-10 16:15:00,,0.0,0.0123322813167564,0.0018740490249122,0.0124738615602144,-1.0,0.0623218008640633,0.0,0.0,
66,0.1,2023-01-10 16:30:00,,0.0,0.0115149241211274,0.001877697526842,0.0116670144217632,-1.0,0.1261703236046021,0.0,0.0,
