epsilon,label,da_import_cost_mean,da_total_cost_eur,rt_imbalance_cost_mean,rt_pv_cost_mean,rt_bess_cost_mean,trafo_steps,line_steps,trafo_violation_probability_pct,horizon_timesteps,total_rt_cost_mean,is_deterministic,n_trajectories,trafo_cvar90_loading_pct,trafo_cvar95_loading_pct,trafo_violation_excess_cvar90_pct,trafo_violation_excess_cvar95_pct,rt_tag,plot_order,all_in_total_cost_mean
0.15,0.15 (RT ON),823.6122251718094,843.0652016795682,39.353531152612945,0.0,1.5999080674484858,315,0,3.28125,96,40.95343922006143,0,100,78.2444839477539,80.0645523071289,,,rt_on,0,884.0186408996296
0.1,0.10 (RT ON),823.1870089359892,845.8782489578738,39.981826419539665,0.0,1.7205832620770365,57,0,0.59375,96,41.7024096816167,0,100,77.95582580566406,79.57511138916016,,,rt_on,1,887.5806586394905
0.1,0.10 (RT OFF),817.0030396184163,882.7553210050585,85.02315049354928,0.0,14.106162969955008,120,1,1.25,96,99.12931346350429,0,100,76.49421691894531,78.61585235595703,,,rt_off,1,981.8846344685628
0.05,0.05 (RT ON),818.388836201165,877.5383887106677,40.47533955448952,0.0,1.4138203341666775,0,0,0.0,96,41.8891598886562,0,100,74.853271484375,76.29939270019531,,,rt_on,2,919.4275485993239
