timestamp,K_pv_bess,K_hp_bess,K_pv_pvcurt,K_hp_pvcurt
2023-01-10 00:00:00,-1.0,0.0172511962000067,0.0,0.0
2023-01-10 00:15:00,-1.0,0.0019766894931312,0.0,0.0
2023-01-10 00:30:00,-1.0,-0.0059388844940204,0.0,0.0
2023-01-10 00:45:00,-1.0,-0.0077868814277364,0.0,0.0
2023-01-10 01:00:00,-1.0,0.002413280957622,0.0,0.0
2023-01-10 01:15:00,-1.0,0.0031533984775937,0.0,0.0
2023-01-10 01:30:00,-1.0,0.0052672238158205,0.0,0.0
2023-01-10 01:45:00,-1.0,0.0211824888203755,0.0,0.0
2023-01-10 02:00:00,-1.0,0.0501118429757259,0.0,0.0
2023-01-10 02:15:00,-1.0,0.0398261819027468,0.0,0.0
2023-01-10 02:30:00,-1.0,0.0443082869029089,0.0,0.0
2023-01-10 02:45:00,-1.0,0.1190834229722368,0.0,0.0
2023-01-10 03:00:00,-1.0,0.0815152494387066,0.0,0.0
2023-01-10 03:15:00,-1.0,0.0738121300544953,0.0,0.0
2023-01-10 03:30:00,-1.0,0.0630268477903474,0.0,0.0
2023-01-10 03:45:00,-1.0,0.0626261300873971,0.0,0.0
2023-01-10 04:00:00,-1.0,0.0618813176767572,0.0,0.0
2023-01-10 04:15:00,-1.0,0.0657196434446362,0.0,0.0
2023-01-10 04:30:00,-1.0,0.0703797145369311,0.0,0.0
2023-01-10 04:45:00,-1.0,0.0835301821902597,0.0,0.0
2023-01-10 05:00:00,-1.0,0.1196374082380675,0.0,0.0
2023-01-10 05:15:00,-1.0,0.0996574223352417,0.0,0.0
2023-01-10 05:30:00,-1.0,0.0655233426843947,0.0,0.0
2023-01-10 05:45:00,-1.0,0.1782421759654464,0.0,0.0
2023-01-10 06:00:00,-1.0,0.1312796874030612,0.0,0.0
2023-01-10 06:15:00,-1.0,0.1030809057314498,0.0,0.0
2023-01-10 06:30:00,-1.0,0.1252311581939304,0.0,0.0
2023-01-10 06:45:00,-1.0,0.0555482831488165,0.0,0.0
2023-01-10 07:00:00,-1.0,0.1126080007538326,0.0,0.0
2023-01-10 07:15:00,-0.058141734316727,0.1038394588913305,0.0,0.0
2023-01-10 07:30:00,-1.0,0.0295623616535477,0.0,0.0
2023-01-10 07:45:00,-1.0,0.0662346034022309,0.0,0.0
2023-01-10 08:00:00,-0.0166684527102055,0.038663824242826,0.0,0.0
2023-01-10 08:15:00,-0.078687201915149,0.0199589404251962,0.0,0.0
2023-01-10 08:30:00,-0.0580932018490121,0.0175144907459353,0.0,0.0
2023-01-10 08:45:00,-0.0835993442680639,0.0371228421117014,0.0,0.0
2023-01-10 09:00:00,-0.027690517499011,0.0337567928277476,0.0,0.0
2023-01-10 09:15:00,-0.0476997274363818,0.0447738956590384,0.0,0.0
2023-01-10 09:30:00,-0.0522080154617583,0.0420743767588374,0.0,0.0
2023-01-10 09:45:00,-0.034196670040039,0.0193683720417631,0.0,0.0
2023-01-10 10:00:00,-0.0597471758913316,0.04546463362818,0.0,0.0
2023-01-10 10:15:00,-0.044076519426104,0.0196022353216503,0.0,0.0
2023-01-10 10:30:00,-0.0530551067311425,0.0178152434150051,0.0,0.0
2023-01-10 10:45:00,-0.0672548686486352,0.0257013660397247,0.0,0.0
2023-01-10 11:00:00,-0.0778055416023334,0.0294079712333532,0.0,0.0
2023-01-10 11:15:00,-0.0923777781039933,0.0348480770231449,0.0,0.0
2023-01-10 11:30:00,-0.0556653319391342,0.0071348011103181,0.0,0.0
2023-01-10 11:45:00,-0.0914776950604409,0.0304001306931614,0.0,0.0
2023-01-10 12:00:00,-0.0593217735467198,0.0419225492994331,0.0,0.0
2023-01-10 12:15:00,-0.0430932783259073,0.0271342901525,0.0,0.0
2023-01-10 12:30:00,-0.0376407344858577,0.0226054471438558,0.0,0.0
2023-01-10 12:45:00,-0.0395636910523131,0.0210408774091031,0.0,0.0
2023-01-10 13:00:00,-0.0390535570137973,0.01894637885776,0.0,0.0
2023-01-10 13:15:00,-0.0503949263631554,0.0194463291549744,0.0,0.0
2023-01-10 13:30:00,-0.0616885631424305,0.026847112054757,0.0,0.0
2023-01-10 13:45:00,-0.079997605010088,0.0421490612626094,0.0,0.0
2023-01-10 14:00:00,-0.0956475522330918,0.0557777420995879,0.0,0.0
2023-01-10 14:15:00,-0.1096543284159087,0.0810401624554106,0.0,0.0
2023-01-10 14:30:00,-0.1725203686830348,0.0352498159708285,0.0,0.0
2023-01-10 14:45:00,-1.0,0.1129524858845562,0.0,0.0
2023-01-10 15:00:00,-1.0,0.0513031608898458,0.0,0.0
2023-01-10 15:15:00,-1.0,0.0488382933214879,0.0,0.0
2023-01-10 15:30:00,-1.0,0.1868036126019992,0.0,0.0
2023-01-10 15:45:00,-0.0344615098129251,0.1909172124491894,0.0,0.0
2023-01-10 16:00:00,-1.0,0.0509472064457105,0.0,0.0
2023-01-10 16:15:00,-1.0,0.0623218008640633,0.0,0.0
2023-01-10 16:30:00,-1.0,0.1261703236046021,0.0,0.0
2023-01-10 16:45:00,-1.0,0.0569875309686117,0.0,0.0
2023-01-10 17:00:00,-1.0,0.0814842690201241,0.0,0.0
2023-01-10 17:15:00,-1.0,0.0645177131919161,0.0,0.0
2023-01-10 17:30:00,-1.0,0.0248322072518761,0.0,0.0
2023-01-10 17:45:00,-1.0,0.0498877838843198,0.0,0.0
2023-01-10 18:00:00,-1.0,5.229489928556293e-11,0.0,0.0
2023-01-10 18:15:00,-1.0,1.8747202609917502e-10,0.0,0.0
2023-01-10 18:30:00,-1.0,0.4904163061362036,0.0,0.0
2023-01-10 18:45:00,-1.0,0.8891139214795157,0.0,0.0
2023-01-10 19:00:00,-1.0,0.8900136224771624,0.0,0.0
2023-01-10 19:15:00,-1.0,0.8909993477234927,0.0,0.0
2023-01-10 19:30:00,-1.0,0.5430375920599478,0.0,0.0
2023-01-10 19:45:00,-1.0,0.8917095530104118,0.0,0.0
2023-01-10 20:00:00,-1.0,0.8945091149559151,0.0,0.0
2023-01-10 20:15:00,-1.0,0.7511874800839737,0.0,0.0
2023-01-10 20:30:00,-1.0,5.898570428597783e-10,0.0,0.0
2023-01-10 20:45:00,-1.0,0.1033537779382359,0.0,0.0
2023-01-10 21:00:00,-1.0,0.0900607908453111,0.0,0.0
2023-01-10 21:15:00,-1.0,0.1657000929266769,0.0,0.0
2023-01-10 21:30:00,-1.0,0.0504069747884288,0.0,0.0
2023-01-10 21:45:00,-1.0,0.0239393860872718,0.0,0.0
2023-01-10 22:00:00,-1.0,0.0140396367631059,0.0,0.0
2023-01-10 22:15:00,-1.0,0.0122183249374973,0.0,0.0
2023-01-10 22:30:00,-1.0,0.0004569400027034,0.0,0.0
2023-01-10 22:45:00,-1.0,0.0866664218964616,0.0,0.0
2023-01-10 23:00:00,-1.0,0.0664355182601716,0.0,0.0
2023-01-10 23:15:00,-1.0,0.1271241858046266,0.0,0.0
2023-01-10 23:30:00,-1.0,0.1415892193354352,0.0,0.0
2023-01-10 23:45:00,-1.0,0.1499719127237422,0.0,0.0
