sample_id,n_steps,steps_trafo_over_80pct,violation_rate,bess_clip_power_steps,bess_clip_energy_steps,bess_clip_both_steps,clip_power_rate,clip_energy_rate,clip_both_rate,bess_clip_total_energy_mwh,bess_clip_avg_abs_mw,bess_headroom_charge_avg_mw,bess_headroom_discharge_avg_mw
s0089,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0496442785364557,0.0503557214635443
s0090,96,2,0.020833333333333332,0,0,0,0.0,0.0,0.0,0.0,0.0,0.050630413129586,0.0493695868704139
s0091,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0496468345947229,0.050353165405277
s0092,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0499455440976713,0.0500544559023286
s0093,96,1,0.010416666666666666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0498060120994375,0.0501939879005624
s0094,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0492994736653762,0.0507005263346236
s0095,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0492958349482247,0.0507041650517752
s0096,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0500344595452592,0.0499655404547407
s0097,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0498776694076232,0.0501223305923767
s0098,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0496582321318519,0.050341767868148
s0099,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0497408727044008,0.0502591272955991
s0100,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0502360856458079,0.0497639143541921
