import_mwh,energy_cost_eur,peak_import_mw,pv_energy_mwh,hp_resid_energy_mwh_abs,avg_temp_c,v_min_pu,v_max_pu,max_line_loading_pct,max_trafo_loading_pct,max_trafo_loading_pct_optionA,steps_line_over_80pct,steps_trafo_over_80pct,loading_violation_threshold_pct,steps_voltage_violation,pv_curtail_mwh,bess_rt_energy_throughput_mwh,imbalance_mwh,bess_soc_clip_steps,rt_opt_slack_pct_hours,rt_opt_used_steps,rt_opt_action_steps,rt_opt_slack_steps,bess_clip_power_steps,bess_clip_energy_steps,bess_clip_both_steps,bess_clip_total_energy_mwh,bess_clip_max_abs_mw,bess_clip_avg_abs_mw,bess_headroom_charge_avg_mw,bess_headroom_discharge_avg_mw,residual_policy_std,residual_policy_frac_negative,da_energy_cost_eur,rt_pv_curtail_cost_eur,rt_imbalance_cost_eur,rt_bess_cycle_cost_eur,total_cost_eur,sample_id,n_steps,flex_baseline_energy_mwh,flex_realized_energy_mwh,flex_curtail_energy_mwh,flex_avg_curtailment_mw,flex_peak_curtailment_mw,flex_energy_curtailed_pct,recourse_bess_cmd_energy_mwh,recourse_bess_real_energy_mwh,recourse_bess_cmd_avg_mw,recourse_bess_real_avg_mw,recourse_bess_cmd_peak_mw,recourse_bess_real_peak_mw,recourse_pv_curt_cmd_energy_mwh,recourse_pv_curt_real_energy_mwh,recourse_pv_curt_cmd_peak_mw,recourse_pv_curt_real_peak_mw,recourse_steps_k_policy,recourse_steps_lambda_policy,recourse_steps_rt_opt,recourse_steps_total,recourse_rt_opt_fraction,recourse_k_policy_fraction,shadow_bess_lambda_cmd_energy_mwh,shadow_bess_lambda_cmd_avg_abs_mw,shadow_bess_lambda_cmd_peak_abs_mw,shadow_bess_cmd_lambda_mae_mw,shadow_bess_cmd_lambda_rmse_mw,shadow_bess_cmd_lambda_corr,shadow_pv_curt_lambda_cmd_energy_mwh,shadow_pv_curt_lambda_cmd_peak_mw,shadow_pv_curt_cmd_lambda_mae_mw,shadow_pv_curt_cmd_lambda_rmse_mw,shadow_pv_curt_cmd_lambda_corr,shadow_bess_diff_resid_corr,shadow_bess_throughput_cost_eur,shadow_pv_curtail_cost_eur,shadow_total_proxy_cost_eur,realized_bess_throughput_cost_eur,realized_pv_curtail_cost_eur,realized_total_proxy_cost_eur,bess_throughput_cost_reduction_pct,pv_curtail_cost_reduction_pct,total_proxy_cost_reduction_pct
7.345146340481977,825.6241554453302,0.39563681684541674,0.37125225320157834,0.22168166679855356,-4.924578508684824,1.0,1.0173985651552069,69.59479045594725,80.26128693368048,80.26128693368048,0,3,80.0,0,0.0,0.019869712586976642,0.2740460028737721,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.050097065529688574,0.049902934470311446,,,823.6122251718097,0.0,40.23700923527842,0.993485629348832,864.8427200364368,s0001,96,0.0,0.0,0.0,0.0,0.0,,0.019869712586976642,0.019869712586976642,0.0008279046911240268,0.0008279046911240268,0.010310726750538696,0.010310726750538696,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.253415532650102,816.1273927563891,0.3954008318393381,0.40323201896887817,0.24980727328128532,-4.779471613416457,1.0,1.017080273988541,73.70364449765717,80.12734580208664,80.12734580208664,0,2,80.0,0,0.0,0.03473779594602622,0.26586429298911596,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.04929895756431695,0.05070104243568307,,,823.6122251718097,0.0,38.30120078257759,1.7368897973013118,863.6503157516885,s0002,96,0.0,0.0,0.0,0.0,0.0,,0.03473779594602622,0.03473779594602622,0.001447408164417759,0.001447408164417759,0.019842961026428515,0.019842961026428515,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.325452743066213,822.9736260472282,0.39540063154418614,0.35285646955865446,0.2737353969910389,-4.8266916909954185,1.0,1.0173134641611858,73.40205954328543,80.12473231143905,80.12473231143905,0,4,80.0,0,0.0,0.03384961621877035,0.3041321059857087,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.049957952132439816,0.050042047867560197,,,823.6122251718097,0.0,43.51788334286667,1.692480810938517,868.8225893256148,s0003,96,0.0,0.0,0.0,0.0,0.0,,0.03384961621877034,0.03384961621877034,0.0014104006757820976,0.0014104006757820976,0.03292748094388512,0.03292748094388512,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.367736788562789,828.586826485649,0.39581860273945607,0.3444007293820355,0.23044461150015388,-4.8452164307416306,1.0,1.0174660349457163,72.02863217124961,80.31517301348778,80.31517301348778,0,4,80.0,0,0.0,0.02791998312304861,0.238843216735808,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0504828307569122,0.04951716924308781,,,823.6122251718097,0.0,33.775490059447634,1.3959991561524296,858.7837143874098,s0004,96,0.0,0.0,0.0,0.0,0.0,,0.027919983123048605,0.027919983123048605,0.0011633326301270252,0.0011633326301270252,0.01441848946315972,0.01441848946315972,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.357379552260149,826.7035787293056,0.3953953810986287,0.3541731880620054,0.229966736367032,-4.786286687200612,1.0,1.0170162691991556,70.62248559466585,80.05733114947266,80.05733114947266,0,1,80.0,0,0.0,0.03173380407876032,0.2786138154920832,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.049404287722619046,0.05059571227738099,,,823.6122251718097,0.0,40.15458301019497,1.586690203938016,865.3534983859427,s0005,96,0.0,0.0,0.0,0.0,0.0,,0.03173380407876032,0.03173380407876032,0.0013222418366150134,0.0013222418366150134,0.018902361827117638,0.018902361827117638,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.373956962263586,828.2464727996633,0.39564792853496167,0.3417613293254491,0.2687712377352282,-4.86228348044469,1.0,1.0174026892560881,71.08671310899699,80.26457717416767,80.26457717416767,0,3,80.0,0,0.0,0.03534341685260575,0.29816577667799576,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.04951385120551141,0.0504861487944886,,,823.6122251718097,0.0,42.44916182941138,1.7671708426302872,867.8285578438514,s0006,96,0.0,0.0,0.0,0.0,0.0,,0.03534341685260575,0.03534341685260575,0.001472642368858573,0.001472642368858573,0.015345455029021609,0.015345455029021609,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.36061926078557,827.4401065783983,0.395389441909762,0.3747966917030537,0.26756478241005277,-4.75946654087937,1.0,1.0169122885299775,71.58446535063027,80.05422139778635,80.05422139778635,0,1,80.0,0,0.0,0.04069705180770775,0.2781728498439901,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.04915056751422286,0.05084943248577712,,,823.6122251718097,0.0,40.45552110071178,2.0348525903853876,866.1025988629068,s0007,96,0.0,0.0,0.0,0.0,0.0,,0.04069705180770775,0.04069705180770775,0.001695710491987823,0.001695710491987823,0.031408105048305504,0.031408105048305504,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.3043454492508495,821.7747927302078,0.39561391397274914,0.4106469716595117,0.2346871385920467,-4.8456129947167925,1.0,1.0173900647595677,69.87557069154549,80.2545067114638,80.2545067114638,0,3,80.0,0,0.0,0.028125210896394585,0.2720305499539737,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.04981744193142787,0.050182558068572136,,,823.6122251718097,0.0,39.011234518347514,1.4062605448197292,864.0297202349768,s0008,96,0.0,0.0,0.0,0.0,0.0,,0.028125210896394588,0.028125210896394588,0.0011718837873497744,0.0011718837873497744,0.018711501359790883,0.018711501359790883,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.27816912771018,818.1468991275137,0.39539729586320155,0.37681670444539445,0.2471954267066549,-4.883056871807454,1.0,1.0169499791029304,69.09482489576841,80.08166406693798,80.08166406693798,0,2,80.0,0,0.0,0.033889163590174076,0.2658915586725549,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.04925343707022107,0.050746562929778936,,,823.6122251718097,0.0,37.8994105403288,1.694458179508704,863.2060938916472,s0009,96,0.0,0.0,0.0,0.0,0.0,,0.033889163590174076,0.033889163590174076,0.0014120484829239198,0.0014120484829239198,0.03364574742470532,0.03364574742470532,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.338349481125634,824.850571641183,0.39540705241778973,0.33471444037894593,0.2721376941959195,-4.762380374544936,1.0,1.0173722320160898,71.70931996272807,80.21005612916149,80.21005612916149,0,5,80.0,0,0.0,0.04084329447179308,0.2975601471776162,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.050274830087318194,0.049725169912681805,,,823.6122251718097,0.0,42.930831354462185,2.042164723589654,868.5852212498614,s0010,96,0.0,0.0,0.0,0.0,0.0,,0.04084329447179307,0.04084329447179307,0.0017018039363247113,0.0017018039363247113,0.028481657136383568,0.028481657136383568,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.273361732580175,818.5590394440768,0.39614093012199353,0.40806385732660627,0.2433197766911515,-4.81123756960859,1.0,1.017585666675616,71.52172811335348,80.41102321350922,80.41102321350922,0,4,80.0,0,0.0,0.03149891922091888,0.2936068071550172,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.05024368306799513,0.049756316932004864,,,823.6122251718097,0.0,42.51534578415059,1.574945961045944,867.7025169170062,s0011,96,0.0,0.0,0.0,0.0,0.0,,0.03149891922091888,0.03149891922091888,0.0013124549675382867,0.0013124549675382867,0.02025229535791882,0.02025229535791882,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
7.321870036627493,822.6739020898689,0.395403450552495,0.397033001354559,0.2408141854472584,-4.919037497466859,1.0,1.0172031812605804,71.89666290515338,80.1618006400207,80.1618006400207,0,4,80.0,0,0.0,0.03261236884795811,0.27358498166275114,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0502838555205205,0.04971614447947955,,,823.6122251718097,0.0,38.934040813324586,1.6306184423979058,864.1768844275322,s0012,96,0.0,0.0,0.0,0.0,0.0,,0.03261236884795811,0.03261236884795811,0.0013588487019982546,0.0013588487019982546,0.024303649977967412,0.024303649977967412,0.0,0.0,0.0,0.0,96,0,0,96,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
