timestamp,lambda0_mw,lambda_plus,lambda_minus,chi0_mw,chi_minus
2023-01-10 00:00:00,0.0,1.00000071629185,1.0000007163415772,0.0,0.0
2023-01-10 00:15:00,0.0017583140685422,1.4113504611794794e-07,2.628238962191811e-07,0.0,0.0
2023-01-10 00:30:00,0.0017583443431393,1.410195525583722e-07,2.626064247897646e-07,0.0,0.0
2023-01-10 00:45:00,0.0017221558270329,1.1859864975354397e-07,1.9960051231980427e-07,0.0,0.0
2023-01-10 01:00:00,0.0017187851810151,1.0758591502779364e-07,1.690350868151009e-07,0.0,0.0
2023-01-10 01:15:00,0.0017188356205049,1.0738242287884069e-07,1.6871392638151887e-07,0.0,0.0
2023-01-10 01:30:00,0.0017189371577708,1.069753942154825e-07,1.680715352079954e-07,0.0,0.0
2023-01-10 01:45:00,0.0017524667748551,1.0663329273956145e-07,1.6733676919407202e-07,0.0,0.0
2023-01-10 02:00:00,0.0017486032325683,1.015371116015726e-07,1.5580433325667078e-07,0.0,0.0
2023-01-10 02:15:00,0.0017486896019367,9.728818632229413e-08,1.467117980270842e-07,0.0,0.0
2023-01-10 02:30:00,0.0017508248552067,9.345535574875435e-08,1.3892580521892106e-07,0.0,0.0
2023-01-10 02:45:00,0.0017539205349387,9.01130183331286e-08,1.3234698927337533e-07,0.0,0.0
2023-01-10 03:00:00,0.0017571724262522,8.613853662942482e-08,1.2409664062327108e-07,0.0,0.0
2023-01-10 03:15:00,0.001761020607013,8.41716400894321e-08,1.2023395768061426e-07,0.0,0.0
2023-01-10 03:30:00,0.0017645545521105,8.220289385955013e-08,1.165394287583672e-07,0.0,0.0
2023-01-10 03:45:00,0.0017676958817571,8.022022398978668e-08,1.1296499304378081e-07,0.0,0.0
2023-01-10 04:00:00,0.0017704571239247,7.910791252355986e-08,1.1098251091654033e-07,0.0,0.0
2023-01-10 04:15:00,0.0017727119191602,7.761324886998752e-08,1.0827840688352157e-07,0.0,0.0
2023-01-10 04:30:00,0.0017745887520873,7.604336897223237e-08,1.0554870585805965e-07,0.0,0.0
2023-01-10 04:45:00,0.0017761084462286,7.447025710791882e-08,1.0288315056489373e-07,0.0,0.0
2023-01-10 05:00:00,0.0017781013165618,7.893394126878532e-08,1.1173734595184259e-07,0.0,0.0
2023-01-10 05:15:00,0.0017789069454753,7.786802881137319e-08,1.0968584061178407e-07,0.0,0.0
2023-01-10 05:30:00,0.0017794792559062,7.66378336337047e-08,1.0746239101988493e-07,0.0,0.0
2023-01-10 05:45:00,0.0017798342006144,7.534418145416219e-08,1.0520333848652017e-07,0.0,0.0
2023-01-10 06:00:00,0.0017837693615228,1.504479697333576e-07,3.488050890833193e-07,0.0,0.0
2023-01-10 06:15:00,0.0017835618204944,1.4730365873577134e-07,3.3118007335310054e-07,0.0,0.0
2023-01-10 06:30:00,0.0017832275010133,1.4408982814779605e-07,3.154047274905884e-07,0.0,0.0
2023-01-10 06:45:00,0.0017827786663939,1.408722004873656e-07,3.0117584302699373e-07,0.0,0.0
2023-01-10 07:00:00,0.0017363630974435,7.31560930636749e-07,0.9999996244493136,0.0,0.0
2023-01-10 07:15:00,0.0017405649131953,7.317255987705442e-07,0.9999996246385312,0.0,0.0
2023-01-10 07:30:00,0.0017435491036,7.309227325435707e-07,0.9999996251360266,0.0,0.0
2023-01-10 07:45:00,0.0017455673761948,7.302160303249471e-07,0.9999996257987788,0.0,0.0
2023-01-10 08:00:00,0.0013675794897648,0.9999997589865351,0.9999998930885556,0.0,0.0
2023-01-10 08:15:00,0.001371710975436,0.9999997599356693,0.9999998935425792,0.0,0.0
2023-01-10 08:30:00,0.0012318264650579,0.9999997966787184,0.9999999098712054,0.0,0.0
2023-01-10 08:45:00,0.0011980465930433,0.9999998023417976,0.9999999123139298,0.0,0.0
2023-01-10 09:00:00,0.0016828941216927,0.5379596874438483,0.9999998022358,0.0,0.0
2023-01-10 09:15:00,0.001685336442785,0.4924473662061695,0.9999998240417968,0.0,0.0
2023-01-10 09:30:00,0.0016869230465149,0.4352377231036621,0.9999998499018394,0.0,0.0
2023-01-10 09:45:00,0.0016888309221415,0.39497684630475,0.9999998663139832,0.0,0.0
2023-01-10 10:00:00,0.0017780778644587,1.5604938583865816e-07,0.0008850947916177,0.0,0.0
2023-01-10 10:15:00,0.0017783451258749,1.364746524193507e-07,0.000676726899705,0.0,0.0
2023-01-10 10:30:00,0.001780198609506,1.1818703285796201e-07,5.26626044976371e-05,0.0,0.0
2023-01-10 10:45:00,0.0017795574040721,1.0471661586324737e-07,9.395344988726236e-05,0.0,0.0
2023-01-10 11:00:00,0.0017806308250343,6.193782400721867e-08,1.311361173555953e-07,0.0,0.0
2023-01-10 11:15:00,0.0017798676082696,5.868647035121486e-08,1.2424825667261898e-07,0.0,0.0
2023-01-10 11:30:00,0.0017792651779271,5.2141215984442446e-08,1.1038804480136218e-07,0.0,0.0
2023-01-10 11:45:00,0.001778827328361,4.759321300675132e-08,1.0075745473329629e-07,0.0,0.0
2023-01-10 12:00:00,0.0017778250724923,4.010685852862142e-08,6.680540312772383e-08,0.0,0.0
2023-01-10 12:15:00,0.0017777092121162,5.4651030484947135e-08,9.103108923979248e-08,0.0,0.0
2023-01-10 12:30:00,0.0017761997576926,6.262386757737544e-08,1.0428841316985577e-07,0.0,0.0
2023-01-10 12:45:00,0.0017781690094533,5.5311977812582935e-08,9.213087809095638e-08,0.0,0.0
2023-01-10 13:00:00,0.001777586772249,6.929172035277012e-08,1.2685066543891294e-07,0.0,0.0
2023-01-10 13:15:00,0.0017780803328012,7.817609235045656e-08,1.4310306905651493e-07,0.0,0.0
2023-01-10 13:30:00,0.0017791148434868,8.230976730493394e-08,1.5066188705451747e-07,0.0,0.0
2023-01-10 13:45:00,0.001780540274426,8.465965296802706e-08,1.5495637085830645e-07,0.0,0.0
2023-01-10 14:00:00,0.0017820976798476,1.2392751226645986e-07,3.525595175401999e-07,0.0,0.0
2023-01-10 14:15:00,0.0017836669977334,1.406184797413962e-07,4.002122552425824e-07,0.0,0.0
2023-01-10 14:30:00,0.0017852019708296,1.699158579093525e-07,4.838884609909902e-07,0.0,0.0
2023-01-10 14:45:00,0.001787912202799,1.70054074360342e-07,4.843896615515916e-07,0.0,0.0
2023-01-10 15:00:00,0.0017788390894153,4.484585091562777e-07,0.9999994501673112,0.0,0.0
2023-01-10 15:15:00,0.001781488464881,4.490929476721529e-07,0.999999448587754,0.0,0.0
2023-01-10 15:30:00,0.0017838232973394,4.485415777296774e-07,0.99999944875818,0.0,0.0
2023-01-10 15:45:00,0.0017857247919761,4.477149276934662e-07,0.999999449332036,0.0,0.0
2023-01-10 16:00:00,0.0020866881727125,0.9999993976945302,0.999999838045138,0.0,0.0
2023-01-10 16:15:00,0.002058476259203,0.9999993906819268,0.9999998379262028,0.0,0.0
